Species,Sign,Reaction,Rate_Expression
AB40_O10_ISF,+,,k_O9_O10_AB40_ISF * (AB40_O1_ISF/V_ISF) * (AB40_O9_ISF/V_ISF) * V_ISF
AB40_O10_ISF,-,,k_O10_O9_AB40_ISF * (AB40_O10_ISF/V_ISF) * V_ISF
AB40_O10_ISF,-,,k_O10_O11_AB40_ISF * (AB40_O1_ISF/V_ISF) * (AB40_O10_ISF/V_ISF) * V_ISF
AB40_O10_ISF,+,,k_O11_O10_AB40_ISF * (AB40_O11_ISF/V_ISF) * V_ISF
AB40_O10_ISF,+,,k_O9_O10_AB40_ISF*AB40_PDMA_Vmax_ISF*((AB40_O25_ISF/V_ISF) / ((AB40_O25_ISF/V_ISF) + AB40_PDMA_EC50_ISF)) * (AB40_O1_ISF/V_ISF) * (AB40_O9_ISF/V_ISF) * V_ISF
AB40_O10_ISF,-,,k_O10_O11_AB40_ISF*AB40_PDMA_Vmax_ISF*((AB40_O25_ISF/V_ISF) / ((AB40_O25_ISF/V_ISF) + AB40_PDMA_EC50_ISF)) * (AB40_O1_ISF/V_ISF) * (AB40_O10_ISF/V_ISF) * V_ISF
AB40_O10_ISF,-,,k1_Antibody * (AB40_O10_ISF/V_ISF) * (Antibody_ISF/V_ISF) * V_ISF
AB40_O10_ISF,-,,Microglia*(Hi_lo_ratio*Microglia_high_frac*Microglia_Vmax_AB40/(Microglia_EC50_AB40 + (AB40_O10_ISF/V_ISF)) + (1.0 - Microglia_high_frac)*Microglia_Vmax_AB40/(Microglia_EC50_AB40 + (AB40_O10_ISF/V_ISF))) * (AB40_O10_ISF/V_ISF) * V_ISF
AB40_O10_ISF,-,,(1.0 - sigma_ISF_PVS_oligomer2) * Q_PVS * (AB40_O10_ISF/V_ISF)
AB40_O10_PVS,-,,k1_Antibody * (AB40_O10_PVS/V_PVS) * (Antibody_PVS/V_PVS) * V_PVS
AB40_O10_PVS,+,,(1.0 - sigma_ISF_PVS_oligomer2) * Q_PVS * (AB40_O10_ISF/V_ISF)
AB40_O10_PVS,-,,(1.0 - sigma_PVS_central_Abeta) * Q_PVS * (AB40_O10_PVS/V_PVS)
AB40_O10__Antibody_ISF,+,,k1_Antibody * (AB40_O10_ISF/V_ISF) * (Antibody_ISF/V_ISF) * V_ISF
AB40_O10__Antibody_ISF,-,,Microglia*(Microglia_high_frac*Microglia_high_rate_mAb + (1.0 - Microglia_high_frac)*Microglia_low_rate_mAb) * (AB40_O10__Antibody_ISF/V_ISF) * V_ISF
AB40_O10__Antibody_PVS,+,,k1_Antibody * (AB40_O10_PVS/V_PVS) * (Antibody_PVS/V_PVS) * V_PVS
AB40_O10__Antibody_PVS,-,,(1.0 - sigma_PVS_central_Antibody) * Q_PVS * (AB40_O10__Antibody_PVS/V_PVS)
AB40_O11_ISF,+,,k_O10_O11_AB40_ISF * (AB40_O1_ISF/V_ISF) * (AB40_O10_ISF/V_ISF) * V_ISF
AB40_O11_ISF,-,,k_O11_O10_AB40_ISF * (AB40_O11_ISF/V_ISF) * V_ISF
AB40_O11_ISF,-,,k_O11_O12_AB40_ISF * (AB40_O1_ISF/V_ISF) * (AB40_O11_ISF/V_ISF) * V_ISF
AB40_O11_ISF,+,,k_O12_O11_AB40_ISF * (AB40_O12_ISF/V_ISF) * V_ISF
AB40_O11_ISF,+,,k_O10_O11_AB40_ISF*AB40_PDMA_Vmax_ISF*((AB40_O25_ISF/V_ISF) / ((AB40_O25_ISF/V_ISF) + AB40_PDMA_EC50_ISF)) * (AB40_O1_ISF/V_ISF) * (AB40_O10_ISF/V_ISF) * V_ISF
AB40_O11_ISF,-,,k_O11_O12_AB40_ISF*AB40_PDMA_Vmax_ISF*((AB40_O25_ISF/V_ISF) / ((AB40_O25_ISF/V_ISF) + AB40_PDMA_EC50_ISF)) * (AB40_O1_ISF/V_ISF) * (AB40_O11_ISF/V_ISF) * V_ISF
AB40_O11_ISF,-,,k1_Antibody * (AB40_O11_ISF/V_ISF) * (Antibody_ISF/V_ISF) * V_ISF
AB40_O11_ISF,-,,Microglia*(Hi_lo_ratio*Microglia_high_frac*Microglia_Vmax_AB40/(Microglia_EC50_AB40 + (AB40_O11_ISF/V_ISF)) + (1.0 - Microglia_high_frac)*Microglia_Vmax_AB40/(Microglia_EC50_AB40 + (AB40_O11_ISF/V_ISF))) * (AB40_O11_ISF/V_ISF) * V_ISF
AB40_O11_ISF,-,,(1.0 - sigma_ISF_PVS_oligomer2) * Q_PVS * (AB40_O11_ISF/V_ISF)
AB40_O11_PVS,-,,k1_Antibody * (AB40_O11_PVS/V_PVS) * (Antibody_PVS/V_PVS) * V_PVS
AB40_O11_PVS,+,,(1.0 - sigma_ISF_PVS_oligomer2) * Q_PVS * (AB40_O11_ISF/V_ISF)
AB40_O11_PVS,-,,(1.0 - sigma_PVS_central_Abeta) * Q_PVS * (AB40_O11_PVS/V_PVS)
AB40_O11__Antibody_ISF,+,,k1_Antibody * (AB40_O11_ISF/V_ISF) * (Antibody_ISF/V_ISF) * V_ISF
AB40_O11__Antibody_ISF,-,,Microglia*(Microglia_high_frac*Microglia_high_rate_mAb + (1.0 - Microglia_high_frac)*Microglia_low_rate_mAb) * (AB40_O11__Antibody_ISF/V_ISF) * V_ISF
AB40_O11__Antibody_PVS,+,,k1_Antibody * (AB40_O11_PVS/V_PVS) * (Antibody_PVS/V_PVS) * V_PVS
AB40_O11__Antibody_PVS,-,,(1.0 - sigma_PVS_central_Antibody) * Q_PVS * (AB40_O11__Antibody_PVS/V_PVS)
AB40_O12_ISF,+,,k_O11_O12_AB40_ISF * (AB40_O1_ISF/V_ISF) * (AB40_O11_ISF/V_ISF) * V_ISF
AB40_O12_ISF,-,,k_O12_O11_AB40_ISF * (AB40_O12_ISF/V_ISF) * V_ISF
AB40_O12_ISF,-,,k_O12_O13_AB40_ISF * (AB40_O1_ISF/V_ISF) * (AB40_O12_ISF/V_ISF) * V_ISF
AB40_O12_ISF,+,,k_O13_O12_AB40_ISF * (AB40_O13_ISF/V_ISF) * V_ISF
AB40_O12_ISF,+,,k_O11_O12_AB40_ISF*AB40_PDMA_Vmax_ISF*((AB40_O25_ISF/V_ISF) / ((AB40_O25_ISF/V_ISF) + AB40_PDMA_EC50_ISF)) * (AB40_O1_ISF/V_ISF) * (AB40_O11_ISF/V_ISF) * V_ISF
AB40_O12_ISF,-,,k_O12_O13_AB40_ISF*AB40_PDMA_Vmax_ISF*((AB40_O25_ISF/V_ISF) / ((AB40_O25_ISF/V_ISF) + AB40_PDMA_EC50_ISF)) * (AB40_O1_ISF/V_ISF) * (AB40_O12_ISF/V_ISF) * V_ISF
AB40_O12_ISF,-,,k1_Antibody * (AB40_O12_ISF/V_ISF) * (Antibody_ISF/V_ISF) * V_ISF
AB40_O12_ISF,-,,Microglia*(Hi_lo_ratio*Microglia_high_frac*Microglia_Vmax_AB40/(Microglia_EC50_AB40 + (AB40_O12_ISF/V_ISF)) + (1.0 - Microglia_high_frac)*Microglia_Vmax_AB40/(Microglia_EC50_AB40 + (AB40_O12_ISF/V_ISF))) * (AB40_O12_ISF/V_ISF) * V_ISF
AB40_O12_ISF,+,,k_O24_O12_AB40_ISF*k_O24_O23_AB40_ISF * (AB40_O24_ISF/V_ISF) * V_ISF
AB40_O12_ISF,+,,k_O24_O12_AB40_ISF*k_O24_O23_AB40_ISF * (AB40_O24_ISF/V_ISF) * V_ISF
AB40_O12_ISF,-,,(1.0 - sigma_ISF_PVS_oligomer2) * Q_PVS * (AB40_O12_ISF/V_ISF)
AB40_O12_PVS,-,,k1_Antibody * (AB40_O12_PVS/V_PVS) * (Antibody_PVS/V_PVS) * V_PVS
AB40_O12_PVS,+,,(1.0 - sigma_ISF_PVS_oligomer2) * Q_PVS * (AB40_O12_ISF/V_ISF)
AB40_O12_PVS,-,,(1.0 - sigma_PVS_central_Abeta) * Q_PVS * (AB40_O12_PVS/V_PVS)
AB40_O12__Antibody_ISF,+,,k1_Antibody * (AB40_O12_ISF/V_ISF) * (Antibody_ISF/V_ISF) * V_ISF
AB40_O12__Antibody_ISF,-,,Microglia*(Microglia_high_frac*Microglia_high_rate_mAb + (1.0 - Microglia_high_frac)*Microglia_low_rate_mAb) * (AB40_O12__Antibody_ISF/V_ISF) * V_ISF
AB40_O12__Antibody_PVS,+,,k1_Antibody * (AB40_O12_PVS/V_PVS) * (Antibody_PVS/V_PVS) * V_PVS
AB40_O12__Antibody_PVS,-,,(1.0 - sigma_PVS_central_Antibody) * Q_PVS * (AB40_O12__Antibody_PVS/V_PVS)
AB40_O13_ISF,+,,k_O12_O13_AB40_ISF * (AB40_O1_ISF/V_ISF) * (AB40_O12_ISF/V_ISF) * V_ISF
AB40_O13_ISF,-,,k_O13_O12_AB40_ISF * (AB40_O13_ISF/V_ISF) * V_ISF
AB40_O13_ISF,-,,k_O13_O14_AB40_ISF * (AB40_O1_ISF/V_ISF) * (AB40_O13_ISF/V_ISF) * V_ISF
AB40_O13_ISF,+,,k_O14_O13_AB40_ISF * (AB40_O14_ISF/V_ISF) * V_ISF
AB40_O13_ISF,+,,k_O12_O13_AB40_ISF*AB40_PDMA_Vmax_ISF*((AB40_O25_ISF/V_ISF) / ((AB40_O25_ISF/V_ISF) + AB40_PDMA_EC50_ISF)) * (AB40_O1_ISF/V_ISF) * (AB40_O12_ISF/V_ISF) * V_ISF
