observation,series,Time (h),Conc (ng/mL),time,measurement,measurement_unit
plasma,36mgsim,30.2727367,7335.79492,30.2727367,7335.79492,nM
plasma,36mgsim,104.3650714,4758.429773,104.3650714,4758.429773,nM
plasma,36mgsim,140.594341,4305.668852,140.594341,4305.668852,nM
plasma,36mgsim,176.9013994,4053.301434,176.9013994,4053.301434,nM
plasma,36mgsim,213.2152221,3828.882831,213.2152221,3828.882831,nM
plasma,36mgsim,249.5256626,3610.670039,249.5256626,3610.670039,nM
plasma,36mgsim,285.8530137,3434.320091,285.8530137,3434.320091,nM
plasma,36mgsim,322.1972755,3294.814597,322.1972755,3294.814597,nM
plasma,36mgsim,358.4928347,3083.599265,358.4928347,3083.599265,nM
plasma,36mgsim,394.7661846,2853.491876,394.7661846,2853.491876,nM
plasma,36mgsim,431.1624182,2810.946912,431.1624182,2810.946912,nM
plasma,36mgsim,467.5100621,2701.408755,467.5100621,2701.408755,nM
plasma,36mgsim,503.830649,2560.639109,503.830649,2560.639109,nM
plasma,36mgsim,540.1512359,2427.204929,540.1512359,2427.204929,nM
plasma,36mgsim,576.4819691,2312.633766,576.4819691,2312.633766,nM
plasma,36mgsim,612.829613,2222.514084,612.829613,2222.514084,nM
plasma,36mgsim,649.1501999,2106.699504,649.1501999,2106.699504,nM
plasma,36mgsim,784.5804318,1773.359812,784.5804318,1773.359812,nM
plasma,36mgsim,820.9010187,1680.950534,820.9010187,1680.950534,nM
plasma,36mgsim,857.2182234,1590.616767,857.2182234,1590.616767,nM
plasma,36mgsim,893.5658673,1528.632947,893.5658673,1528.632947,nM
plasma,36mgsim,929.9135111,1469.064537,929.9135111,1469.064537,nM
plasma,36mgsim,966.2307159,1390.117459,966.2307159,1390.117459,nM
plasma,36mgsim,1002.551303,1317.678831,1002.551303,1317.678831,nM
plasma,36mgsim,1038.902329,1268.512283,1038.902329,1268.512283,nM
plasma,36mgsim,1075.24659,1216.984054,1075.24659,1216.984054,nM
plasma,36mgsim,1111.563795,1151.583704,1111.563795,1151.583704,nM
plasma,36mgsim,1147.877618,1087.824122,1147.877618,1087.824122,nM
plasma,36mgsim,1184.228644,1047.234142,1184.228644,1047.234142,nM
plasma,36mgsim,1220.57967,1008.158696,1220.57967,1008.158696,nM
plasma,36mgsim,1256.896875,953.9805567,1256.896875,953.9805567,nM
plasma,36mgsim,1293.217462,904.2688998,1293.217462,904.2688998,nM
plasma,36mgsim,1329.561723,867.5365988,1329.561723,867.5365988,nM
plasma,36mgsim,1365.909367,833.730069,1365.909367,833.730069,nM
plasma,36mgsim,1402.236718,793.0095787,1402.236718,793.0095787,nM
plasma,36mgsim,1438.567451,755.5772098,1438.567451,755.5772098,nM
plasma,36mgsim,1474.89142,717.4379898,1474.89142,717.4379898,nM
plasma,36mgsim,1511.239064,689.4805655,1511.239064,689.4805655,nM
plasma,36mgsim,1547.583326,661.47318,1547.583326,661.47318,nM
plasma,36mgsim,1583.907295,628.0840428,1583.907295,628.0840428,nM
plasma,36mgsim,1620.227882,595.354761,1620.227882,595.354761,nM
plasma,36mgsim,1656.58229,574.1275502,1656.58229,574.1275502,nM
