observation,series,Time (y),AB42 (pg/ml),time,measurement,time_units,measurement_unit
CSF_AB42,DIAN_noncarrier,31.66234855,769.5340694,31.66234855,0.170477197,year,nM
CSF_AB42,DIAN_noncarrier,32.52408395,777.2920605,32.52408395,0.172195849,year,nM
CSF_AB42,DIAN_noncarrier,33.3858751,784.7997938,33.3858751,0.173859059,year,nM
CSF_AB42,DIAN_noncarrier,34.24761049,792.5577848,34.24761049,0.17557771,year,nM
CSF_AB42,DIAN_noncarrier,35.10940164,800.0655181,35.10940164,0.177240921,year,nM
CSF_AB42,DIAN_noncarrier,35.97113704,807.8235092,35.97113704,0.178959572,year,nM
CSF_AB42,DIAN_noncarrier,36.83287243,815.5815003,36.83287243,0.180678223,year,nM
CSF_AB42,DIAN_noncarrier,37.69460783,823.3394913,37.69460783,0.182396874,year,nM
CSF_AB42,DIAN_noncarrier,38.55634323,831.0974824,38.55634323,0.184115526,year,nM
CSF_AB42,DIAN_noncarrier,39.41819012,838.3549579,39.41819012,0.185723296,year,nM
CSF_AB42,DIAN_noncarrier,40.27992552,846.112949,40.27992552,0.187441947,year,nM
CSF_AB42,DIAN_noncarrier,41.14160517,854.1211978,41.14160517,0.189216039,year,nM
CSF_AB42,DIAN_noncarrier,42.00339631,861.6289311,42.00339631,0.190879249,year,nM
CSF_AB42,DIAN_noncarrier,42.86507596,869.6371799,42.86507596,0.192653341,year,nM
CSF_AB42,DIAN_noncarrier,43.72692286,876.8946554,43.72692286,0.194261111,year,nM
CSF_AB42,DIAN_noncarrier,44.58865825,884.6526465,44.58865825,0.195979762,year,nM
CSF_AB42,DIAN_noncarrier,45.45039365,892.4106376,45.45039365,0.197698413,year,nM
CSF_AB42,DIAN_noncarrier,46.3121848,899.9183709,46.3121848,0.199361624,year,nM
CSF_AB42,DIAN_noncarrier,47.09571464,906.3694602,47.09571464,0.200790753,year,nM
CSF_AB42,DIAN_noncarrier,48.34897337,918.4374463,48.34897337,0.203464211,year,nM
CSF_AB42,DIAN_noncarrier,49.21076452,925.9451796,49.21076452,0.205127421,year,nM
CSF_AB42,DIAN_noncarrier,50.07261142,933.2026551,50.07261142,0.206735192,year,nM
CSF_AB42,DIAN_noncarrier,50.93423531,941.4611617,50.93423531,0.208564723,year,nM
CSF_AB42,DIAN_noncarrier,51.79602646,948.968895,51.79602646,0.210227934,year,nM
CSF_AB42,DIAN_noncarrier,52.65776186,956.7268861,52.65776186,0.211946585,year,nM
CSF_AB42,DIAN_noncarrier,53.51949725,964.4848771,53.51949725,0.213665236,year,nM
CSF_AB42,DIAN_noncarrier,54.3812884,971.9926104,54.3812884,0.215328447,year,nM
CSF_AB42,DIAN_noncarrier,55.2430238,979.7506015,55.2430238,0.217047098,year,nM
CSF_AB42,DIAN_noncarrier,56.10481494,987.2583348,56.10481494,0.218710309,year,nM
CSF_AB42,DIAN_noncarrier,56.96655034,995.0163258,56.96655034,0.22042896,year,nM
CSF_AB42,DIAN_noncarrier,57.74993771,1002.106963,57.74993771,0.22199977,year,nM
