obs_id,series,time,measurement
ISF_AB42,nonAPOE4,183121.1344,2.923343261
ISF_AB42,nonAPOE4,193760.6497,2.943398086
ISF_AB42,nonAPOE4,205438.1665,2.96722794
ISF_AB42,nonAPOE4,217375.1836,2.99326704
ISF_AB42,nonAPOE4,228051.7705,3.014348356
ISF_AB42,nonAPOE4,240730.2172,3.043200341
ISF_AB42,nonAPOE4,252667.2343,3.070674143
ISF_AB42,nonAPOE4,264604.2516,3.096994464
ISF_AB42,nonAPOE4,276541.2687,3.127299535
ISF_AB42,nonAPOE4,289227.9536,3.157709468
ISF_AB42,nonAPOE4,301141.904,3.187595091
ISF_AB42,nonAPOE4,312482.0704,3.217677331
ISF_AB42,nonAPOE4,324289.3373,3.247652326
ISF_AB42,nonAPOE4,335707.3537,3.280683804
ISF_AB42,nonAPOE4,348394.0386,3.316575151
ISF_AB42,nonAPOE4,360411.7892,3.351808728
ISF_AB42,nonAPOE4,372037.4059,3.385783965
ISF_AB42,nonAPOE4,384262.7568,3.428777317
ISF_AB42,nonAPOE4,394873.4388,3.460855507
ISF_AB42,nonAPOE4,406291.4552,3.498176788
ISF_AB42,nonAPOE4,418747.473,3.541932774
ISF_AB42,nonAPOE4,429819.489,3.581351292
ISF_AB42,nonAPOE4,442506.1739,3.626966192
ISF_AB42,nonAPOE4,455077.5252,3.676578948
ISF_AB42,nonAPOE4,466034.2077,3.717671681
ISF_AB42,nonAPOE4,476298.8891,3.761189342
ISF_AB42,nonAPOE4,490369.576,3.819911972
ISF_AB42,nonAPOE4,503448.3948,3.870874825
ISF_AB42,nonAPOE4,520175.0474,3.928443974
ISF_AB42,nonAPOE4,531889.6357,3.961904433
ISF_AB42,nonAPOE4,543307.6521,3.978634663
ISF_AB42,nonAPOE4,554725.6685,3.967910157
ISF_AB42,nonAPOE4,566143.6849,3.913858646
ISF_AB42,nonAPOE4,575485.6983,3.81923786
ISF_AB42,nonAPOE4,581713.7072,3.714211241
ISF_AB42,nonAPOE4,586384.714,3.606387056
ISF_AB42,nonAPOE4,590017.7192,3.50532646
ISF_AB42,nonAPOE4,593131.7236,3.399940312
ISF_AB42,nonAPOE4,596245.7282,3.278824889
ISF_AB42,nonAPOE4,598840.7319,3.164001179
ISF_AB42,nonAPOE4,600916.7348,3.06254735
ISF_AB42,nonAPOE4,602992.7378,2.954015348
ISF_AB42,nonAPOE4,605068.7409,2.833686389
ISF_AB42,nonAPOE4,607144.7438,2.710998039
ISF_AB42,nonAPOE4,609220.7468,2.57179395
ISF_AB42,nonAPOE4,611123.7495,2.427871077
ISF_AB42,nonAPOE4,613372.7527,2.286307596
ISF_AB42,nonAPOE4,614929.755,2.147103507
ISF_AB42,nonAPOE4,617351.7585,1.982732576
ISF_AB42,nonAPOE4,619081.761,1.861617153
ISF_AB42,nonAPOE4,621157.7639,1.721626602
ISF_AB42,nonAPOE4,623752.7676,1.569052627
ISF_AB42,nonAPOE4,625828.7707,1.448723669
ISF_AB42,nonAPOE4,628423.7744,1.30794665
ISF_AB42,nonAPOE4,631537.7789,1.169529025
ISF_AB42,nonAPOE4,634651.7833,1.051559459
ISF_AB42,nonAPOE4,638284.7886,0.947353006
ISF_AB42,nonAPOE4,643474.796,0.831349599
ISF_AB42,nonAPOE4,651259.8072,0.720720361
ISF_AB42,nonAPOE4,661639.8221,0.633017734
ISF_AB42,nonAPOE4,673057.8385,0.578966223
ISF_AB42,nonAPOE4,683437.8534,0.550844185
ISF_AB42,nonAPOE4,703901.3114,0.519460534
ISF_AB42,nonAPOE4,755059.9564,0.497888957
ISF_AB42,nonAPOE4,766477.9728,0.497888957
ISF_AB42,nonAPOE4,777376.9885,0.497888957
ISF_AB42,nonAPOE4,812150.0384,0.493599154
ISF_AB42,nonAPOE4,823568.0548,0.488451391
ISF_AB42,nonAPOE4,834986.0712,0.488451391
ISF_AB42,nonAPOE4,846404.0876,0.488451391
ISF_AB42,nonAPOE4,857822.104,0.488451391
ISF_AB42,nonAPOE4,869240.1204,0.490167311
ISF_AB42,nonAPOE4,175780.1325,2.911576681
ISF_AB42,nonAPOE4,730966.8874,0.506361163
ISF_AB42,nonAPOE4,797101.9867,0.490537375
ISF_AB42,APOE4,518395.6162,3.895412494
ISF_AB42,APOE4,529709.8325,3.907681331
ISF_AB42,APOE4,541231.6491,3.897986376
ISF_AB42,APOE4,552649.6655,3.840074043
ISF_AB42,APOE4,561991.679,3.743737337
ISF_AB42,APOE4,568219.6878,3.636823203
ISF_AB42,APOE4,572890.6946,3.526167749
ISF_AB42,APOE4,576523.6998,3.423534227
ISF_AB42,APOE4,579637.7043,3.316575151
ISF_AB42,APOE4,582751.7087,3.192313875
ISF_AB42,APOE4,585346.7125,3.081422481
ISF_AB42,APOE4,587422.7155,2.974912813
ISF_AB42,APOE4,589498.7184,2.861999085
ISF_AB42,APOE4,591574.7214,2.734591952
ISF_AB42,APOE4,593650.7245,2.616622386
ISF_AB42,APOE4,595726.7274,2.477418296
ISF_AB42,APOE4,597802.7304,2.338214207
ISF_AB42,APOE4,599878.7333,2.187213159
ISF_AB42,APOE4,601435.7356,2.062951883
ISF_AB42,APOE4,604030.7393,1.889929849
ISF_AB42,APOE4,606106.7423,1.754264847
ISF_AB42,APOE4,608182.7453,1.616240454
ISF_AB42,APOE4,610258.7483,1.48647393
ISF_AB42,APOE4,612334.7512,1.368167306
ISF_AB42,APOE4,614410.7542,1.262331752
ISF_AB42,APOE4,617005.758,1.149080968
ISF_AB42,APOE4,620119.7624,1.035830184
ISF_AB42,APOE4,623752.7676,0.927298181
ISF_AB42,APOE4,628423.7744,0.822541205
ISF_AB42,APOE4,635689.7848,0.715477268
ISF_AB42,APOE4,646069.7997,0.623580168
ISF_AB42,APOE4,657487.8162,0.567383755
ISF_AB42,APOE4,668905.8326,0.535210237
ISF_AB42,APOE4,680323.849,0.515048166
ISF_AB42,APOE4,691741.8654,0.502607738
ISF_AB42,APOE4,703159.8818,0.496001442
ISF_AB42,APOE4,714577.8982,0.489738332
ISF_AB42,APOE4,720805.9071,0.488451391
ISF_AB42,APOE4,873679.4702,0.474713589
ISF_AB42,APOE4,779698.0133,0.474713589
ISF_AB42,APOE4,183121.1344,2.923343261
ISF_AB42,APOE4,193760.6497,2.943398086
ISF_AB42,APOE4,205438.1665,2.96722794
ISF_AB42,APOE4,217375.1836,2.99326704
ISF_AB42,APOE4,228051.7705,3.014348356
ISF_AB42,APOE4,240730.2172,3.043200341
ISF_AB42,APOE4,252667.2343,3.070674143
ISF_AB42,APOE4,264604.2516,3.096994464
ISF_AB42,APOE4,276541.2687,3.127299535
ISF_AB42,APOE4,289227.9536,3.157709468
ISF_AB42,APOE4,301141.904,3.187595091
ISF_AB42,APOE4,312482.0704,3.217677331
ISF_AB42,APOE4,324289.3373,3.247652326
ISF_AB42,APOE4,335707.3537,3.280683804
ISF_AB42,APOE4,348394.0386,3.316575151
ISF_AB42,APOE4,360411.7892,3.351808728
ISF_AB42,APOE4,372037.4059,3.385783965
ISF_AB42,APOE4,384262.7568,3.428777317
ISF_AB42,APOE4,394873.4388,3.460855507
ISF_AB42,APOE4,406291.4552,3.498176788
ISF_AB42,APOE4,418747.473,3.541932774
ISF_AB42,APOE4,429819.489,3.581351292
ISF_AB42,APOE4,442506.1739,3.626966192
ISF_AB42,APOE4,455077.5252,3.676578948
ISF_AB42,APOE4,466034.2077,3.717671681
ISF_AB42,APOE4,476298.8891,3.761189342
ISF_AB42,APOE4,490369.576,3.819911972
ISF_AB42,APOE4,503448.3948,3.870874825
SUVR,nonAPOE4,175200,1
SUVR,nonAPOE4,180852.139,1.003657887
SUVR,nonAPOE4,192479.1557,1.004899365
SUVR,nonAPOE4,204106.1724,1.004899365
SUVR,nonAPOE4,215733.1892,1.004899365
SUVR,nonAPOE4,227360.2059,1.004899365
SUVR,nonAPOE4,238987.2226,1.004899365
SUVR,nonAPOE4,250614.2392,1.004899365
SUVR,nonAPOE4,262241.256,1.005254073
SUVR,nonAPOE4,273868.2727,1.004899365
SUVR,nonAPOE4,285495.2894,1.004899365
SUVR,nonAPOE4,297122.3062,1.004899365
SUVR,nonAPOE4,308749.3229,1.004899365
SUVR,nonAPOE4,320376.3395,1.004899365
SUVR,nonAPOE4,332003.3562,1.004899365
SUVR,nonAPOE4,343630.373,1.005254073
SUVR,nonAPOE4,355257.3897,1.004899365
SUVR,nonAPOE4,366884.4064,1.004899365
SUVR,nonAPOE4,378511.4231,1.004899365
SUVR,nonAPOE4,390138.4398,1.004899365
SUVR,nonAPOE4,401765.4565,1.004899365
SUVR,nonAPOE4,413392.4732,1.004899365
