Measure,Condition,time,measurement,Units
SUVR,"""non APOE4""",20,1,"""dimensionless"""
SUVR,"""non APOE4""",20.64522135,1.003657887,"""dimensionless"""
SUVR,"""non APOE4""",21.97250636,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",23.29979137,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",24.62707639,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",25.9543614,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",27.28164641,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",28.60893142,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",29.93621644,1.005254073,"""dimensionless"""
SUVR,"""non APOE4""",31.26350145,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",32.59078646,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",33.91807148,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",35.24535649,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",36.5726415,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",37.89992651,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",39.22721153,1.005254073,"""dimensionless"""
SUVR,"""non APOE4""",40.55449654,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",41.88178155,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",43.20906656,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",44.53635158,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",45.86363659,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",47.1909216,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",48.51820661,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",49.84549163,1.005608782,"""dimensionless"""
SUVR,"""non APOE4""",51.17277664,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",52.50006165,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",53.82734666,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",55.15463168,1.004367303,"""dimensionless"""
SUVR,"""non APOE4""",56.48191669,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",57.8092017,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",59.13648671,1.004899365,"""dimensionless"""
SUVR,"""non APOE4""",60.46377173,1.005786136,"""dimensionless"""
SUVR,"""non APOE4""",61.79105674,1.004367303,"""dimensionless"""
SUVR,"""non APOE4""",63.11834175,1.002239054,"""dimensionless"""
SUVR,"""non APOE4""",64.44562676,1.008387329,"""dimensionless"""
SUVR,"""non APOE4""",65.77291178,1.027364213,"""dimensionless"""
SUVR,"""non APOE4""",67.10019679,1.053494379,"""dimensionless"""
SUVR,"""non APOE4""",68.24648839,1.094640522,"""dimensionless"""
SUVR,"""non APOE4""",69.09112431,1.142437442,"""dimensionless"""
SUVR,"""non APOE4""",69.69443568,1.186820297,"""dimensionless"""
SUVR,"""non APOE4""",70.17708477,1.230227704,"""dimensionless"""
SUVR,"""non APOE4""",70.65973387,1.278024624,"""dimensionless"""
SUVR,"""non APOE4""",71.14238296,1.329723334,"""dimensionless"""
SUVR,"""non APOE4""",71.56470092,1.378170553,"""dimensionless"""
SUVR,"""non APOE4""",71.92668774,1.41978964,"""dimensionless"""
SUVR,"""non APOE4""",72.28867456,1.462059025,"""dimensionless"""
SUVR,"""non APOE4""",72.71099252,1.510668818,"""dimensionless"""
SUVR,"""non APOE4""",73.19364162,1.56529387,"""dimensionless"""
SUVR,"""non APOE4""",73.67629071,1.616504856,"""dimensionless"""
SUVR,"""non APOE4""",74.15893981,1.666740395,"""dimensionless"""
SUVR,"""non APOE4""",74.6415889,1.714537315,"""dimensionless"""
SUVR,"""non APOE4""",75.124238,1.758432446,"""dimensionless"""
SUVR,"""non APOE4""",75.6068871,1.801839854,"""dimensionless"""
SUVR,"""non APOE4""",76.14986733,1.847685879,"""dimensionless"""
SUVR,"""non APOE4""",76.7531787,1.89528771,"""dimensionless"""
SUVR,"""non APOE4""",77.35649007,1.940158288,"""dimensionless"""
SUVR,"""non APOE4""",77.95980144,1.981517256,"""dimensionless"""
SUVR,"""non APOE4""",78.62344394,2.025217298,"""dimensionless"""
SUVR,"""non APOE4""",79.34741759,2.069437578,"""dimensionless"""
SUVR,"""non APOE4""",80.07139123,2.110406367,"""dimensionless"""
SUVR,"""non APOE4""",80.85569601,2.151468055,"""dimensionless"""
SUVR,"""non APOE4""",81.76066306,2.195920585,"""dimensionless"""
SUVR,"""non APOE4""",82.72596125,2.23908413,"""dimensionless"""
SUVR,"""non APOE4""",83.75159058,2.281218037,"""dimensionless"""
SUVR,"""non APOE4""",84.89788218,2.323899278,"""dimensionless"""
SUVR,"""non APOE4""",86.16483606,2.366623872,"""dimensionless"""
SUVR,"""non APOE4""",87.49212107,2.407060598,"""dimensionless"""
SUVR,"""non APOE4""",88.81940608,2.443240827,"""dimensionless"""
SUVR,"""non APOE4""",90.1466911,2.476406038,"""dimensionless"""
SUVR,"""non APOE4""",91.47397611,2.505846812,"""dimensionless"""
SUVR,"""non APOE4""",92.80126112,2.532981984,"""dimensionless"""
SUVR,"""non APOE4""",94.12854613,2.557988907,"""dimensionless"""
SUVR,"""non APOE4""",95.45583115,2.580867581,"""dimensionless"""
SUVR,"""non APOE4""",96.78311616,2.601440653,"""dimensionless"""
SUVR,"""non APOE4""",98.11040117,2.620594892,"""dimensionless"""
SUVR,"""non APOE4""",99.38942127,2.637017878,"""dimensionless"""
