simulation_id,pre_eq_id,obs_id,time,measurement,
cond_preeq,cond_preeq,AB42_O1_ISF,183121.1344,2.923343261,29.23343261
cond1,cond_preeq,AB42_O1_ISF,193760.6497,2.943398086,29.43398086
cond1,cond_preeq,AB42_O1_ISF,205438.1665,2.96722794,29.6722794
cond1,cond_preeq,AB42_O1_ISF,217375.1836,2.99326704,29.9326704
cond1,cond_preeq,AB42_O1_ISF,228051.7705,3.014348356,30.14348356
cond1,cond_preeq,AB42_O1_ISF,240730.2172,3.043200341,30.43200341
cond1,cond_preeq,AB42_O1_ISF,252667.2343,3.070674143,30.70674143
cond1,cond_preeq,AB42_O1_ISF,264604.2516,3.096994464,30.96994464
cond1,cond_preeq,AB42_O1_ISF,276541.2687,3.127299535,31.27299535
cond1,cond_preeq,AB42_O1_ISF,289227.9536,3.157709468,31.57709468
cond1,cond_preeq,AB42_O1_ISF,301141.904,3.187595091,31.87595091
cond1,cond_preeq,AB42_O1_ISF,312482.0704,3.217677331,32.17677331
cond1,cond_preeq,AB42_O1_ISF,324289.3373,3.247652326,32.47652326
cond1,cond_preeq,AB42_O1_ISF,335707.3537,3.280683804,32.80683804
cond1,cond_preeq,AB42_O1_ISF,348394.0386,3.316575151,33.16575151
cond1,cond_preeq,AB42_O1_ISF,360411.7892,3.351808728,33.51808728
cond1,cond_preeq,AB42_O1_ISF,372037.4059,3.385783965,33.85783965
cond1,cond_preeq,AB42_O1_ISF,384262.7568,3.428777317,34.28777317
cond1,cond_preeq,AB42_O1_ISF,394873.4388,3.460855507,34.60855507
cond1,cond_preeq,AB42_O1_ISF,406291.4552,3.498176788,34.98176788
cond1,cond_preeq,AB42_O1_ISF,418747.473,3.541932774,35.41932774
cond1,cond_preeq,AB42_O1_ISF,429819.489,3.581351292,35.81351292
cond1,cond_preeq,AB42_O1_ISF,442506.1739,3.626966192,36.26966192
cond1,cond_preeq,AB42_O1_ISF,455077.5252,3.676578948,36.76578948
cond1,cond_preeq,AB42_O1_ISF,466034.2077,3.717671681,37.17671681
cond1,cond_preeq,AB42_O1_ISF,476298.8891,3.761189342,37.61189342
cond1,cond_preeq,AB42_O1_ISF,490369.576,3.819911972,38.19911972
cond1,cond_preeq,AB42_O1_ISF,503448.3948,3.870874825,38.70874825
cond1,cond_preeq,AB42_O1_ISF,520175.0474,3.928443974,39.28443974
cond1,cond_preeq,AB42_O1_ISF,531889.6357,3.961904433,39.61904433
cond1,cond_preeq,AB42_O1_ISF,543307.6521,3.978634663,39.78634663
cond1,cond_preeq,AB42_O1_ISF,554725.6685,3.967910157,39.67910157
cond1,cond_preeq,AB42_O1_ISF,566143.6849,3.913858646,39.13858646
cond1,cond_preeq,AB42_O1_ISF,575485.6983,3.81923786,38.1923786
cond1,cond_preeq,AB42_O1_ISF,581713.7072,3.714211241,37.14211241
cond1,cond_preeq,AB42_O1_ISF,586384.714,3.606387056,36.06387056
cond1,cond_preeq,AB42_O1_ISF,590017.7192,3.50532646,35.0532646
cond1,cond_preeq,AB42_O1_ISF,593131.7236,3.399940312,33.99940312
cond1,cond_preeq,AB42_O1_ISF,596245.7282,3.278824889,32.78824889
cond1,cond_preeq,AB42_O1_ISF,598840.7319,3.164001179,31.64001179
cond1,cond_preeq,AB42_O1_ISF,600916.7348,3.06254735,30.6254735
cond1,cond_preeq,AB42_O1_ISF,602992.7378,2.954015348,29.54015348
cond1,cond_preeq,AB42_O1_ISF,605068.7409,2.833686389,28.33686389
cond1,cond_preeq,AB42_O1_ISF,607144.7438,2.710998039,27.10998039
cond1,cond_preeq,AB42_O1_ISF,609220.7468,2.57179395,25.7179395
cond1,cond_preeq,AB42_O1_ISF,611123.7495,2.427871077,24.27871077
cond1,cond_preeq,AB42_O1_ISF,613372.7527,2.286307596,22.86307596
cond1,cond_preeq,AB42_O1_ISF,614929.755,2.147103507,21.47103507
cond1,cond_preeq,AB42_O1_ISF,617351.7585,1.982732576,19.82732576
cond1,cond_preeq,AB42_O1_ISF,619081.761,1.861617153,18.61617153
cond1,cond_preeq,AB42_O1_ISF,621157.7639,1.721626602,17.21626602
cond1,cond_preeq,AB42_O1_ISF,623752.7676,1.569052627,15.69052627
cond1,cond_preeq,AB42_O1_ISF,625828.7707,1.448723669,14.48723669
cond1,cond_preeq,AB42_O1_ISF,628423.7744,1.30794665,13.0794665
cond1,cond_preeq,AB42_O1_ISF,631537.7789,1.169529025,11.69529025
cond1,cond_preeq,AB42_O1_ISF,634651.7833,1.051559459,10.51559459
cond1,cond_preeq,AB42_O1_ISF,638284.7886,0.947353006,9.473530062
cond1,cond_preeq,AB42_O1_ISF,643474.796,0.831349599,8.31349599
cond1,cond_preeq,AB42_O1_ISF,651259.8072,0.720720361,7.207203611
