observation,series,Time (days),measurement,time,measurement_unit
Gant300,model,-11.00790478,4.740578561,70.00088958,nM
Gant300,model,-11.10349267,2.986796455,70.00062769,nM
Gant300,model,-11.18743396,2.414500546,70.00039772,nM
Gant300,model,-11.1410303,2.068572282,70.00052485,nM
Gant300,model,-11.21817907,1.787148358,70.00031348,nM
Gant300,model,-11.33257946,1.545092157,70.00000006,nM
Gant300,model,-10.87146245,8.562285961,70.00126339,nM
Gant300,model,-10.96192218,6.493936573,70.00101556,nM
Gant300,model,-11.07589357,3.91292733,70.00070331,nM
Gant300,model,-10.98151325,5.361002439,70.00096188,nM
Gant300,model,-10.62905108,14.78160437,70.00192753,nM
Gant300,model,-10.71910734,11.25523631,70.0016808,nM
Gant300,model,-10.29232237,19.00893471,70.00285008,nM
Gant300,model,-10.05976781,24.32618956,70.00348721,nM
Gant300,model,-9.745488478,30.76270362,70.00434825,nM
Gant300,model,-9.34378579,35.98765196,70.00544881,nM
Gant300,model,-8.705898719,47.45984989,70.00719644,nM
Gant300,model,-7.688998373,58.64057489,70.00998247,nM
Gant300,model,-4.991222552,73.40783764,70.01737364,nM
Gant300,model,-0.009670341,77.19092705,70.03102173,nM
Gant300,model,1.17022186,75.68973915,70.03425431,nM
Gant300,model,4.459290099,70.12168809,70.04326545,nM
Gant300,model,5.824034814,67.58180817,70.04700448,nM
Gant300,model,7.188649529,65.05111576,70.05074315,nM
Gant300,model,8.553069243,62.49581556,70.05448129,nM
Gant300,model,9.917488957,60.04089117,70.05821942,nM
Gant300,model,11.28177867,57.60906382,70.0619572,nM
Gant300,model,12.64658839,55.55773262,70.06569641,nM
Gant300,model,14.0106181,53.17202466,70.06943347,nM
Gant300,model,15.37438781,50.75944651,70.07316983,nM
Gant300,model,16.73861252,48.67257408,70.07690743,nM
Gant300,model,18.10270724,46.61216229,70.08064468,nM
Gant300,model,19.46693195,44.69579711,70.08438228,nM
Gant300,model,20.83089666,42.74931106,70.08811917,nM
Gant300,model,22.19512138,40.99175922,70.09185677,nM
Gant300,model,23.55934609,39.30646559,70.09559437,nM
Gant300,model,24.9235058,37.66649246,70.0993318,nM
Gant300,model,26.28766551,36.09494349,70.10306922,nM
Gant300,model,27.65176023,34.56696909,70.10680647,nM
Gant300,model,29.01591994,33.1247407,70.11054389,nM
Gant300,model,30.38007965,31.74268603,70.11428131,nM
Gant300,model,31.74417437,30.39895178,70.11801856,nM
Gant300,model,33.10826908,29.11210062,70.12175581,nM
Gant300,model,34.47236379,27.87972455,70.12549305,nM
Gant300,model,35.83658851,26.73350582,70.12923065,nM
Gant300,model,37.20113822,25.71607049,70.13296915,nM
Gant300,model,38.93807422,24.53364275,70.13772787,nM
Gant300,model,40.30106393,23.2423858,70.14146209,nM
Gant300,model,41.66522364,22.27264997,70.14519952,nM
Gant300,model,43.02931836,21.32980214,70.14893676,nM
Gant300,model,44.39347807,20.43986452,70.15267419,nM
Gant300,model,45.75770278,19.59952066,70.15641179,nM
Gant300,model,47.12173249,18.75789645,70.16014886,nM
Gant300,model,48.48582721,17.96383549,70.1638861,nM
Gant300,model,49.84992192,17.20338879,70.16762335,nM
Gant300,model,51.21408163,16.48561641,70.17136077,nM
Gant300,model,52.57824135,15.79779145,70.1750982,nM
Gant300,model,53.94233606,15.12903792,70.17883544,nM
Gant300,model,55.30656077,14.507038,70.18257304,nM
Gant300,model,56.67065549,13.89292476,70.18631029,nM
Gant300,model,58.0348152,13.31327398,70.19004771,nM
Gant300,model,59.39897491,12.75780782,70.19378514,nM
Gant300,model,60.5154652,12.3640522,70.19684401,nM
Gant300,model,62.00293591,11.72139843,70.20091928,nM
Gant300,model,63.86332034,11.07766797,70.20601622,nM
Gant300,model,65.22748005,10.6154774,70.20975364,nM
Gant300,model,66.59157476,10.16610205,70.21349089,nM
Gant300,model,67.95573448,9.7419445,70.21722831,nM
Gant300,model,69.31995919,9.34142407,70.22096592,nM
Gant300,model,70.6840539,8.945982065,70.22470316,nM
Gant300,model,72.04814861,8.567279947,70.22844041,nM
Gant300,model,73.41237333,8.215053484,70.23217801,nM
Gant300,model,74.77646804,7.8672931,70.23591525,nM
Gant300,model,76.14049775,7.529463191,70.23965232,nM
Gant300,model,77.50472247,7.219904474,70.24338992,nM
Gant300,model,78.86888218,6.918670335,70.24712735,nM
Gant300,model,80.23284689,6.617364705,70.25086424,nM
Gant300,model,81.59713661,6.349342559,70.25460202,nM
Gant300,model,82.96136132,6.088302126,70.25833962,nM
Gant300,model,84.32526103,5.819455853,70.26207633,nM
Gant300,model,85.37805883,5.558354829,70.26496071,nM
Gant300,data,-11.13568566,6.32465327,70.00053949,nM
Gant300,data,-11.09153425,3.90950648,70.00066045,nM
Gant300,data,-10.69441138,14.33218616,70.00174846,nM
Gant300,data,-10.85654103,10.80869389,70.00130427,nM
Gant300,data,-10.12963687,40.99124796,70.00329579,nM
Gant300,data,-10.42910234,24.26668879,70.00247534,nM
Gant300,data,-10.191919,6.409243166,70.00312515,nM
Gant300,data,-10.24357554,3.866040792,70.00298363,nM
Gant300,data,-9.820498195,14.76499153,70.00414274,nM
Gant300,data,-9.843229315,11.82023038,70.00408047,nM
Gant300,data,-9.979794787,10.49462713,70.00370632,nM
Gant300,data,-8.946863064,46.98390375,70.00653627,nM
Gant300,data,-9.206182543,25.1608468,70.0058258,nM
Gant300,data,-9.403145295,22.73788407,70.00528618,nM
Gant300,data,-8.530842281,42.38378444,70.00767605,nM
Gant300,data,-7.688157393,64.49704723,70.00998477,nM
Gant300,data,-7.89731037,47.42296681,70.00941175,nM
Gant300,data,-6.62965632,79.52168852,70.01288478,nM
Gant300,data,-6.815908856,59.92642595,70.0123745,nM
Gant300,data,-5.451846643,94.4060189,70.01611165,nM
Gant300,data,-5.859235551,75.49139893,70.01499552,nM
Gant300,data,-4.123686221,93.12371399,70.01975045,nM
Gant300,data,-3.501070737,71.44234874,70.02145624,nM
Gant300,data,-2.661998727,89.90812854,70.02375507,nM
Gant300,data,-2.110751683,72.19382497,70.02526534,nM
Gant300,data,-1.379575592,87.17779944,70.02726856,nM
Gant300,data,-1.136215233,72.18540645,70.0279353,nM
Gant300,data,2.435555774,80.95690778,70.03772097,nM
Gant300,data,2.79518685,69.0812942,70.03870627,nM
Gant300,data,3.542123389,81.93628973,70.04075267,nM
Gant300,data,3.525171872,69.41164666,70.04070622,nM
Gant300,data,12.80792316,43.38112369,70.06613842,nM
