observation,series,Time,measurement,time
LEC-Q2W,Sim,0.139801357,1.381381485,70.13980136
LEC-Q2W,Sim,0.164636628,1.37574409,70.16463663
LEC-Q2W,Sim,0.189471899,1.3689977,70.1894719
LEC-Q2W,Sim,0.214307171,1.363175472,70.21430717
LEC-Q2W,Sim,0.239142442,1.357168412,70.23914244
LEC-Q2W,Sim,0.263977713,1.350237189,70.26397771
LEC-Q2W,Sim,0.288812984,1.344507377,70.28881298
LEC-Q2W,Sim,0.313648256,1.338592734,70.31364826
LEC-Q2W,Sim,0.338483527,1.333140171,70.33848353
LEC-Q2W,Sim,0.363318798,1.326578613,70.3633188
LEC-Q2W,Sim,0.38815407,1.321218467,70.38815407
LEC-Q2W,Sim,0.412989341,1.315858321,70.41298934
LEC-Q2W,Sim,0.437824612,1.309666429,70.43782461
LEC-Q2W,Sim,0.462659884,1.304768364,70.46265988
LEC-Q2W,Sim,0.487495155,1.298946137,70.48749516
LEC-Q2W,Sim,0.512330426,1.293955656,70.51233043
LEC-Q2W,Sim,0.537165698,1.288687926,70.5371657
LEC-Q2W,Sim,0.562000969,1.283235364,70.56200097
LEC-Q2W,Sim,0.58683624,1.2783373,70.58683624
LEC-Q2W,Sim,0.611671512,1.273531652,70.61167151
LEC-Q2W,Sim,0.636506783,1.268448755,70.63650678
LEC-Q2W,Sim,0.661342054,1.263920355,70.66134205
LEC-Q2W,Sim,0.686177326,1.259114707,70.68617733
LEC-Q2W,Sim,0.711012597,1.254124227,70.7110126
LEC-Q2W,Sim,0.735847868,1.24904133,70.73584787
LEC-Q2W,Sim,0.76068314,1.245159845,70.76068314
LEC-Q2W,Sim,0.785518411,1.239799699,70.78551841
LEC-Q2W,Sim,0.810353682,1.236195462,70.81035368
LEC-Q2W,Sim,0.835188953,1.230835317,70.83518895
LEC-Q2W,Sim,0.860024225,1.226768999,70.86002423
LEC-Q2W,Sim,0.884859496,1.221870934,70.8848595
LEC-Q2W,Sim,0.909694767,1.218359115,70.90969477
LEC-Q2W,Sim,0.934530039,1.213738299,70.93453004
LEC-Q2W,Sim,0.95936531,1.209487149,70.95936531
LEC-Q2W,Sim,1.004520349,1.201909012,71.00452035
LEC-Q2W,Sim,1.02935562,1.199228939,71.02935562
LEC-Q2W,Sim,1.054190891,1.194053625,71.05419089
LEC-Q2W,Sim,1.079026163,1.190264557,71.07902616
LEC-Q2W,Sim,1.103861434,1.186383072,71.10386143
LEC-Q2W,Sim,1.128696705,1.182963668,71.12869671
LEC-Q2W,Sim,1.153531977,1.179359432,71.15353198
LEC-Q2W,Sim,1.178367248,1.17566278,71.17836725
LEC-Q2W,Sim,1.203202519,1.171873711,71.20320252
LEC-Q2W,Sim,1.228037791,1.168269475,71.22803779
LEC-Q2W,Sim,1.252873062,1.164850071,71.25287306
LEC-Q2W,Sim,1.277708333,1.161061003,71.27770833
LEC-Q2W,Sim,1.302543605,1.157456767,71.30254361
LEC-Q2W,Sim,1.327378876,1.153944947,71.32737888
LEC-Q2W,Sim,1.352214147,1.151172458,71.35221415
LEC-Q2W,Sim,1.377049419,1.147937887,71.37704942
LEC-Q2W,Sim,1.40188469,1.144426067,71.40188469
LEC-Q2W,Sim,1.426719961,1.140914247,71.42671996
LEC-Q2W,Sim,1.451555233,1.137864509,71.45155523
LEC-Q2W,Sim,1.476390504,1.135461685,71.4763905
LEC-Q2W,Sim,1.501225775,1.131857449,71.50122578
LEC-Q2W,Sim,1.514772287,1.129454625,71.51477229
LEC-Q2W,Sim,0.006976744,1.408376963,70.00697674
LEC-Q2W,Sim,0.055813953,1.402094241,70.05581395
LEC-Q2W,Sim,0.111627907,1.389528796,70.11162791
LEC-Q2W,Sim,0.087209302,1.395811518,70.0872093
LEC-Q2W,Data,0.006976744,1.39895288,70.00697674
LEC-Q2W,Data,0.997674419,1.147643979,70.99767442
LEC-Q2W,Data,1.489534884,1.097382199,71.48953488
LEC-Q4W,Sim,0.074649086,1.402478808,70.07464909
LEC-Q4W,Sim,0.097468508,1.398085733,70.09746851
LEC-Q4W,Sim,0.122303779,1.393511126,70.12230378
LEC-Q4W,Sim,0.14807978,1.387439888,70.14807978
LEC-Q4W,Sim,0.175248062,1.382786213,70.17524806
LEC-Q4W,Sim,0.202516688,1.3775,70.20251669
LEC-Q4W,Sim,0.22559593,1.37324885,70.22559593
LEC-Q4W,Sim,0.251183786,1.366882393,70.25118379
LEC-Q4W,Sim,0.280032838,1.362590169,70.28003284
LEC-Q4W,Sim,0.305118971,1.357846131,70.30511897
LEC-Q4W,Sim,0.330016957,1.353356239,70.33001696
LEC-Q4W,Sim,0.355134448,1.347256763,70.35513445
LEC-Q4W,Sim,0.378897287,1.344766143,70.37889729
LEC-Q4W,Sim,0.40480499,1.339632417,70.40480499
LEC-Q4W,Sim,0.42901938,1.335006981,70.42901938
LEC-Q4W,Sim,0.456137489,1.33118916,70.45613749
LEC-Q4W,Sim,0.479467593,1.327800562,70.47946759
LEC-Q4W,Sim,0.506811477,1.322604712,70.50681148
LEC-Q4W,Sim,0.528416909,1.318538394,70.52841691
LEC-Q4W,Sim,0.555227713,1.315234511,70.55522771
LEC-Q4W,Sim,0.578557817,1.311987105,70.57855782
LEC-Q4W,Sim,0.609162898,1.307243068,70.6091629
LEC-Q4W,Sim,0.636055233,1.301663176,70.63605523
LEC-Q4W,Sim,0.66811531,1.296986911,70.66811531
LEC-Q4W,Sim,0.692499031,1.294648778,70.69249903
LEC-Q4W,Sim,0.722301357,1.288965175,70.72230136
LEC-Q4W,Sim,0.746685078,1.285804538,70.74668508
LEC-Q4W,Sim,0.771971899,1.282958115,70.7719719
LEC-Q4W,Sim,0.79590407,1.27828185,70.79590407
LEC-Q4W,Sim,0.821642442,1.275102729,70.82164244
LEC-Q4W,Sim,0.846728575,1.272227555,70.84672858
LEC-Q4W,Sim,0.873570736,1.267339759,70.87357074
LEC-Q4W,Sim,0.898406008,1.264936935,70.89840601
LEC-Q4W,Sim,0.921986972,1.261158135,70.92198697
LEC-Q4W,Sim,0.94807655,1.257913295,70.94807655
LEC-Q4W,Sim,0.998499677,1.252987848,70.99849968
LEC-Q4W,Sim,1.022582364,1.248191099,71.02258236
LEC-Q4W,Sim,1.044031008,1.245344677,71.04403101
LEC-Q4W,Sim,1.076768411,1.242294939,71.07676841
LEC-Q4W,Sim,1.100757025,1.238482766,71.10075703
LEC-Q4W,Sim,1.128194983,1.234275257,71.12819498
LEC-Q4W,Sim,1.151274225,1.232683643,71.15127423
LEC-Q4W,Sim,1.174698401,1.229333551,71.1746984
LEC-Q4W,Sim,1.201170543,1.226639616,71.20117054
LEC-Q4W,Sim,1.223522287,1.22399651,71.22352229
LEC-Q4W,Sim,1.253098837,1.220336824,71.25309884
LEC-Q4W,Sim,1.277708333,1.217619784,71.27770833
LEC-Q4W,Sim,1.301414729,1.214847295,71.30141473
LEC-Q4W,Sim,1.327153101,1.21261082,71.3271531
LEC-Q4W,Sim,1.352214147,1.209856814,71.35221415
LEC-Q4W,Sim,1.375795112,1.206262847,71.37579511
LEC-Q4W,Sim,1.402562016,1.20325829,71.40256202
LEC-Q4W,Sim,1.425591085,1.200818499,71.42559109
LEC-Q4W,Sim,1.464407051,1.19550622,71.46440705
LEC-Q4W,Sim,1.510256783,1.192482548,71.51025678
LEC-Q4W,Sim,0.003488372,1.405235602,70.00348837
LEC-Q4W,Sim,0.038372093,1.402094241,70.03837209
LEC-Q4W,Data,0.006976744,1.408376963,70.00697674
LEC-Q4W,Data,1.475581395,1.172774869,71.4755814
LEC-Q4W,Data,0.98372093,1.223036649,70.98372093
Placebo,Sim,0.051749031,1.410862288,70.05174903
Placebo,Sim,0.076584302,1.4120637,70.0765843
Placebo,Sim,0.101419574,1.414651356,70.10141957
Placebo,Sim,0.126254845,1.415945185,70.12625485
Placebo,Sim,0.151090116,1.417423846,70.15109012
Placebo,Sim,0.175925388,1.417516262,70.17592539
Placebo,Sim,0.200760659,1.419179756,70.20076066
Placebo,Sim,0.22559593,1.420103919,70.22559593
Placebo,Sim,0.250431202,1.421859829,70.2504312
Placebo,Sim,0.275266473,1.423892987,70.27526647
Placebo,Sim,0.300101744,1.42583373,70.30010174
Placebo,Sim,0.324937016,1.426295812,70.32493702
Placebo,Sim,0.349772287,1.42657306,70.34977229
Placebo,Sim,0.374607558,1.42758964,70.37460756
Placebo,Sim,0.399442829,1.428513803,70.39944283
Placebo,Sim,0.424278101,1.432025623,70.4242781
