observation,series,Time,Measurement,time,measurement
LEC-Q2W,Sim,0.162863662,717.6587302,70.16286366,0.158985098
LEC-Q2W,Sim,0.221329084,728.5485009,70.22132908,0.161397541
LEC-Q2W,Sim,0.244069596,733.461039,70.2440696,0.162485831
LEC-Q2W,Sim,0.268536348,739.6810967,70.26853635,0.163863779
LEC-Q2W,Sim,0.293007439,744.8924964,70.29300744,0.165018276
LEC-Q2W,Sim,0.317477806,750.2720058,70.31747781,0.166210015
LEC-Q2W,Sim,0.341946727,755.9877345,70.34194673,0.167476237
LEC-Q2W,Sim,0.366402635,764.7294372,70.36640264,0.169412813
LEC-Q2W,Sim,0.390870111,770.7813853,70.39087011,0.170753519
LEC-Q2W,Sim,0.415335417,777.3376623,70.41533542,0.172205951
LEC-Q2W,Sim,0.439800724,783.8939394,70.43980072,0.173658383
LEC-Q2W,Sim,0.464261693,791.4588745,70.46426169,0.175334266
LEC-Q2W,Sim,0.48871977,799.6962482,70.48871977,0.177159116
LEC-Q2W,Sim,0.513174955,808.6060606,70.51317496,0.179132933
LEC-Q2W,Sim,0.537636647,816.002886,70.53763665,0.180771574
LEC-Q2W,Sim,0.562093278,824.5764791,70.56209328,0.182670908
LEC-Q2W,Sim,0.586548463,833.4862915,70.58654846,0.184644726
LEC-Q2W,Sim,0.611002202,842.7323232,70.6110022,0.186693027
LEC-Q2W,Sim,0.635454496,852.3145743,70.6354545,0.188815812
LEC-Q2W,Sim,0.659906066,862.0649351,70.65990607,0.190975839
LEC-Q2W,Sim,0.684359083,871.4790765,70.68435908,0.193061382
LEC-Q2W,Sim,0.708804147,882.7424242,70.70880415,0.195556585
LEC-Q2W,Sim,0.733254271,892.8290043,70.73325427,0.197791095
LEC-Q2W,Sim,0.757692829,905.6053391,70.75769283,0.200621475
LEC-Q2W,Sim,0.782136447,917.2049062,70.78213645,0.203191162
LEC-Q2W,Sim,0.806581511,928.468254,70.80658151,0.205686366
LEC-Q2W,Sim,0.831021514,940.9083694,70.83102151,0.208442262
LEC-Q2W,Sim,0.855460794,953.5165945,70.85546079,0.2112354
LEC-Q2W,Sim,0.87989646,966.965368,70.87989646,0.214214747
LEC-Q2W,Sim,0.904325619,981.9271284,70.90432562,0.217529271
LEC-Q2W,Sim,0.928753332,997.2251082,70.92875333,0.220918278
LEC-Q2W,Sim,0.953183214,1012.018759,70.95318321,0.22419556
LEC-Q2W,Sim,0.977609482,1027.652958,70.97760948,0.227659051
LEC-Q2W,Sim,1.002032857,1043.959596,71.00203286,0.23127151
LEC-Q2W,Sim,1.050872379,1078.253968,71.05087238,0.238868845
LEC-Q2W,Sim,1.075293585,1095.064935,71.07529359,0.242593029
LEC-Q2W,Sim,1.099701056,1115.069986,71.09970106,0.247024809
LEC-Q2W,Sim,1.12411431,1133.730159,71.12411431,0.251158653
LEC-Q2W,Sim,1.148526119,1152.726551,71.14852612,0.255366981
LEC-Q2W,Sim,1.17292636,1174.412698,71.17292636,0.260171178
LEC-Q2W,Sim,1.197328047,1195.762626,71.19732805,0.264900892
LEC-Q2W,Sim,1.221731903,1216.608225,71.2217319,0.26951888
LEC-Q2W,Sim,1.246122023,1240.647908,71.24612202,0.274844463
LEC-Q2W,Sim,1.270515757,1263.847042,71.27051576,0.279983837
LEC-Q2W,Sim,1.294905154,1288.054834,71.29490515,0.285346662
LEC-Q2W,Sim,1.319288044,1313.775613,71.31928804,0.291044664
LEC-Q2W,Sim,1.343673104,1338.992063,71.3436731,0.29663094
LEC-Q2W,Sim,1.368048765,1366.393939,71.36804877,0.30270136
LEC-Q2W,Sim,1.392420811,1394.636364,71.39242081,0.308957989
LEC-Q2W,Sim,1.416792134,1423.046898,71.41679213,0.31525186
LEC-Q2W,Sim,1.441155505,1453.306638,71.44115551,0.321955392
LEC-Q2W,Sim,1.465520321,1483.230159,71.46552032,0.328584439
LEC-Q2W,Sim,1.489875017,1515.507215,71.48987502,0.335734873
LEC-Q2W,Sim,1.504256635,1536.857143,71.50425664,0.340464586
LEC-Q2W,Sim,0.125966579,708.5714286,70.12596658,0.15697196
