observation,series,Time,measurement,Units,time
proto,Crenezumab,0.126128307,69568.13059,[nM],70.12612831
proto,Crenezumab,0.29592344,66912.13752,[nM],70.29592344
proto,Crenezumab,0.379224309,65734.68895,[nM],70.37922431
proto,Crenezumab,0.464854485,64544.41413,[nM],70.46485449
proto,Crenezumab,0.550387277,63669.66476,[nM],70.55038728
proto,Crenezumab,0.635842083,63047.59225,[nM],70.63584208
proto,Crenezumab,0.727015005,62734.15108,[nM],70.72701501
proto,Crenezumab,0.806531985,62515.30341,[nM],70.80653199
proto,Crenezumab,0.891822504,62425.51975,[nM],70.8918225
proto,Crenezumab,0.977101146,62374.2148,[nM],70.97710115
proto,Crenezumab,1.04691422,62203.80908,[nM],71.04691422
proto,Crenezumab,1.147640617,62329.32297,[nM],71.14764062
proto,Crenezumab,1.232944991,62194.64748,[nM],71.23294499
proto,Crenezumab,1.318223634,62143.34253,[nM],71.31822363
proto,Crenezumab,1.403488421,62136.92941,[nM],71.40348842
proto,Crenezumab,1.488788836,62015.08016,[nM],71.48878884
proto,Crenezumab,1.574055603,62002.25392,[nM],71.5740556
proto,Crenezumab,1.659322369,61989.42768,[nM],71.65932237
proto,Crenezumab,1.744610909,61906.05714,[nM],71.74461091
proto,Crenezumab,1.829887572,61861.16531,[nM],71.82988757
proto,Crenezumab,1.91515038,61861.16531,[nM],71.91515038
proto,Crenezumab,2.000446836,61752.14229,[nM],72.00044684
proto,Crenezumab,2.085719541,61720.0767,[nM],72.08571954
proto,Crenezumab,2.170992245,61688.01111,[nM],72.17099225
proto,Crenezumab,2.256272867,61630.29304,[nM],72.25627287
proto,Crenezumab,2.34155151,61578.98809,[nM],72.34155151
proto,Crenezumab,2.426814318,61578.98809,[nM],72.42681432
proto,Crenezumab,2.512110774,61469.96507,[nM],72.51211077
proto,Crenezumab,2.597383479,61437.89948,[nM],72.59738348
proto,Crenezumab,2.682648266,61431.48636,[nM],72.68264827
proto,Crenezumab,2.767936805,61348.11582,[nM],72.76793681
proto,Crenezumab,2.853215448,61296.81087,[nM],72.85321545
