Parameter,Value,Units
AB40_IDE_Hill_ISF ,2,dimensionless
AB40_IDE_IC50_ISF ,14.142136,dimensionless
AB40_IDE_Kcat_lin_ISF ,1500,1 / h
AB40_PDMA_EC50_ISF ,50,nanomol / L
AB40_PDMA_Vmax_ISF ,0.05,dimensionless
AB40_systemic_synthesis_rate ,1.16,nanomol / h
AB42_IDE_Hill_ISF ,2,dimensionless
AB42_IDE_IC50_ISF ,28.635642,dimensionless
AB42_IDE_Kcat_lin_ISF ,50,1 / h
AB42_PDMA_EC50_ISF ,50,nanomol / L
AB42_PDMA_Vmax_ISF ,0.07,dimensionless
AB42_systemic_synthesis_rate ,1.16,nanomol / h
AB_O1_CL ,12.6,L / h
AB_O1_CLd2 ,0.01,L / h
Baseline_AB40_O_P ,5.0E-6,L / (nanomol * h)
Baseline_AB42_O_P ,5.0E-5,L / (nanomol * h)
CL_up_brain ,0.03,1 / h
IDE_conc_ISF ,0.005,nanomol / L
Microglia ,1,dimensionless
Microglia_high_frac ,0,dimensionless
Microglia_high_rate_AB40 ,1.60E-05,1 / h
Microglia_high_rate_AB42 ,2.22E-06,1 / h
Microglia_low_rate_AB40 ,8.00E-06,1 / h
Microglia_low_rate_AB42 ,1.11E-06,1 / h
Q_PVS ,0.0021,L / h
Qbrain_CSF ,0.024,L / h
Qbrain_ISF ,0.0105,L / h
Qbrain_plasma ,21.453,L / h
Qlymph_Brain ,0.0345,L / h
V_BBB ,0.0065909,L
V_BCSFB ,0.0006591,L
V_BrainPlasma ,  0.0319,L
V_CM ,0.0075,L
V_ISF ,0.2505,L
V_LV ,0.0225,L
V_PVS ,0.00235,L
V_SAS ,0.09875,L
V_TFV ,0.0225,L
V_central ,3.5,L
V_peripheral ,7.5,L
Vol_brain_ES ,0.00725,L
fBBB ,0.9090909,dimensionless
f_LV ,0.5,dimensionless
k_APP_production ,293,nanomol / (L * h)
k_C99 ,0.666,1 / h
k_O10_O11_AB40_ISF ,2.22E-05,L / (nano * mol * h)
k_O10_O11_AB42_ISF ,0.000273561,L / (nano * mol * h)
k_O10_O9_AB40_ISF ,1.00E-05,1 / h
k_O10_O9_AB42_ISF ,2.00E-05,1 / h
k_O11_O10_AB40_ISF ,1.00E-05,1 / h
k_O11_O10_AB42_ISF ,2.00E-05,1 / h
k_O11_O12_AB40_ISF ,2.21E-05,L / (nano * mol * h)
k_O11_O12_AB42_ISF ,0.00027357,L / (nano * mol * h)
k_O12_O11_AB40_ISF ,1.00E-05,1 / h
k_O12_O11_AB42_ISF ,2.00E-05,1 / h
k_O12_O13_AB40_ISF ,2.20E-05,L / (nano * mol * h)
k_O12_O13_AB42_ISF ,0.000273577,L / (nano * mol * h)
k_O13_O12_AB40_ISF ,1.00E-05,1 / h
k_O13_O12_AB42_ISF ,2.00E-05,1 / h
k_O13_O14_AB40_ISF ,2.20E-05,L / (nano * mol * h)
k_O13_O14_AB42_ISF ,0.000273581,L / (nano * mol * h)
k_O14_O13_AB40_ISF ,1.00E-05,1 / h
k_O14_O13_AB42_ISF ,2.00E-05,1 / h
k_O14_O15_AB40_ISF ,2.19E-05,L / (nano * mol * h)
k_O14_O15_AB42_ISF ,0.000273585,L / (nano * mol * h)
k_O15_O14_AB40_ISF ,1.00E-05,1 / h
k_O15_O14_AB42_ISF ,2.00E-05,1 / h
k_O15_O16_AB40_ISF ,2.19E-05,L / (nano * mol * h)
k_O15_O16_AB42_ISF ,0.000273587,L / (nano * mol * h)
k_O16_O15_AB40_ISF ,1.00E-05,1 / h
k_O16_O15_AB42_ISF ,2.00E-05,1 / h
k_O16_O17_AB40_ISF ,2.19E-05,L / (nano * mol * h)
k_O16_O17_AB42_ISF ,0.000273589,L / (nano * mol * h)
k_O17_O16_AB40_ISF ,1.00E-05,1 / h
k_O17_O16_AB42_ISF ,2.00E-05,1 / h
k_O17_O18_AB40_ISF ,2.18E-05,L / (nano * mol * h)
k_O17_O18_AB42_ISF ,0.000273591,L / (nano * mol * h)
k_O18_O17_AB40_ISF ,1.00E-05,1 / h
k_O18_O17_AB42_ISF ,2.00E-05,1 / h
k_O18_O19_AB40_ISF ,2.18E-05,L / (nano * mol * h)
k_O18_O19_AB42_ISF ,0.000273592,L / (nano * mol * h)
k_O19_O18_AB40_ISF ,1.00E-05,1 / h
k_O19_O18_AB42_ISF ,2.00E-05,1 / h
k_O19_O20_AB40_ISF ,2.18E-05,L / (nano * mol * h)
k_O19_O20_AB42_ISF ,0.000273594,L / (nano * mol * h)
k_O1_O2_AB40_ISF ,0.00018,L / (nano * mol * h)
k_O1_O2_AB42_ISF ,0.0003564,L / (nano * mol * h)
k_O20_O19_AB40_ISF ,1.00E-05,1 / h
k_O20_O19_AB42_ISF ,2.00E-05,1 / h
k_O20_O21_AB40_ISF ,2.18E-05,L / (nano * mol * h)
k_O20_O21_AB42_ISF ,0.000273594,L / (nano * mol * h)
k_O21_O20_AB40_ISF ,1.00E-05,1 / h
k_O21_O20_AB42_ISF ,2.00E-05,1 / h
k_O21_O22_AB40_ISF ,2.18E-05,L / (nano * mol * h)
k_O21_O22_AB42_ISF ,0.000273595,L / (nano * mol * h)
k_O22_O21_AB40_ISF ,1.00E-05,1 / h
k_O22_O21_AB42_ISF ,2.00E-05,1 / h
k_O22_O23_AB40_ISF ,2.17E-05,L / (nano * mol * h)
