observation,series,Time (day),Measurement (ug/mL),time,measurement,unit
concentration,5sec,0.119791145,1.629410829,70.00032819,11.13746295,nM/L
concentration,5sec,0.148659966,0.576500091,70.00040729,3.940533775,nM/L
concentration,5sec,0.183783697,1.212336335,70.00050352,8.286646169,nM/L
concentration,5sec,0.164537817,0.364264337,70.00045079,2.48984509,nM/L
concentration,5sec,0.213392743,2.094004944,70.00058464,14.31308916,nM/L
concentration,5sec,0.193406637,1.060513692,70.00052988,7.248897418,nM/L
concentration,5sec,0.247936631,1.262103443,70.00067928,8.626817792,nM/L
concentration,5sec,0.259017592,1.375557586,70.00070964,9.402307491,nM/L
concentration,5sec,0.251144277,1.32305208,70.00068807,9.043418182,nM/L
concentration,5sec,0.222275457,1.299664507,70.00060897,8.883557806,nM/L
concentration,5sec,0.323316328,1.688490486,70.0008858,11.54128835,nM/L
concentration,5sec,0.26846557,1.509741886,70.00073552,10.31949341,nM/L
concentration,5sec,0.265578688,1.449702237,70.00072761,9.9091062,nM/L
concentration,5sec,0.251144277,1.427252828,70.00068807,9.755658426,nM/L
concentration,5sec,0.272139783,0.947744841,70.00074559,6.478091872,nM/L
concentration,5sec,0.33553006,0.560464525,70.00091926,3.830926353,nM/L
concentration,5sec,0.366619558,5.676522945,70.00100444,38.80056695,nM/L
concentration,5sec,0.366619558,3.418260153,70.00100444,23.36473105,nM/L
concentration,5sec,0.334863856,2.016553756,70.00091744,13.78368938,nM/L
concentration,5sec,0.308881918,1.94304725,70.00084625,13.28125256,nM/L
concentration,5sec,0.308881918,1.883330032,70.00084625,12.87306926,nM/L
concentration,5sec,0.308881918,1.826188342,70.00084625,12.48249038,nM/L
concentration,5sec,0.280013098,1.775817308,70.00076716,12.13819076,nM/L
concentration,5sec,0.361808088,1.592763226,70.00099126,10.88696668,nM/L
concentration,5sec,0.280013098,1.024007981,70.00076716,6.999371029,nM/L
concentration,5sec,0.280013098,0.992536329,70.00076716,6.784253788,nM/L
concentration,5sec,0.280013098,0.903806838,70.00076716,6.177763759,nM/L
concentration,5sec,0.280013098,0.876029423,70.00076716,5.987897628,nM/L
concentration,5sec,0.280013098,0.849105714,70.00076716,5.803866805,nM/L
concentration,5sec,0.280013098,0.823009472,70.00076716,5.625491948,nM/L
concentration,5sec,0.280013098,0.797715267,70.00076716,5.452599227,nM/L
concentration,5sec,0.280013098,0.773198449,70.00076716,5.285020155,nM/L
concentration,5sec,0.280013098,0.749435125,70.00076716,5.122591425,nM/L
concentration,5sec,0.280013098,0.726402139,70.00076716,4.965154746,nM/L
concentration,5sec,0.280013098,0.704077044,70.00076716,4.812556693,nM/L
concentration,5sec,0.280013098,0.682438084,70.00076716,4.664648558,nM/L
concentration,5sec,0.280013098,0.661464171,70.00076716,4.521286202,nM/L
concentration,5sec,0.280013098,0.641134867,70.00076716,4.382329915,nM/L
concentration,5sec,0.280013098,0.621430358,70.00076716,4.247644282,nM/L
concentration,5sec,0.337750738,0.594966695,70.00092534,4.066757998,nM/L
concentration,5sec,0.265578688,0.531628659,70.00072761,3.633825422,nM/L
concentration,5sec,0.265578688,0.515289693,70.00072761,3.522144174,nM/L
concentration,5sec,0.265578688,0.499452884,70.00072761,3.413895314,nM/L
concentration,5sec,0.265578688,0.484102801,70.00072761,3.308973352,nM/L
concentration,5sec,0.265578688,0.469224485,70.00072761,3.20727604,nM/L
concentration,5sec,0.265578688,0.454803435,70.00072761,3.108704273,nM/L
concentration,5sec,0.265578688,0.440825599,70.00072761,3.013161991,nM/L
concentration,5sec,0.265578688,0.427277355,70.00072761,2.920556085,nM/L
concentration,5sec,0.265578688,0.4141455,70.00072761,2.830796311,nM/L
concentration,5sec,0.265578688,0.401417237,70.00072761,2.743795195,nM/L
concentration,5sec,0.265578688,0.389080162,70.00072761,2.659467954,nM/L
concentration,5sec,0.265578688,0.377122251,70.00072761,2.577732409,nM/L
concentration,5sec,0.458037489,1.630478705,70.0012549,11.14476217,nM/L
concentration,5sec,0.488510133,0.578950626,70.00133838,3.957283838,nM/L
concentration,5sec,0.445527667,2.324395471,70.00122062,15.88787062,nM/L
concentration,5sec,0.438791609,2.222846624,70.00120217,15.19375683,nM/L
concentration,5sec,0.438791609,2.15453011,70.00120217,14.72679501,nM/L
concentration,5sec,0.453226019,1.210628706,70.00124172,8.27497407,nM/L
concentration,5sec,0.453226019,0.363413952,70.00124172,2.484032481,nM/L
concentration,5sec,0.459888055,2.616752129,70.00125997,17.8862073,nM/L
concentration,5sec,0.453226019,2.501298762,70.00124172,17.09705237,nM/L
concentration,5sec,0.458037489,2.432134663,70.0012549,16.62429708,nM/L
concentration,5sec,0.522511188,2.088149232,70.00143154,14.27306379,nM/L
concentration,5sec,0.453226019,1.064414153,70.00124172,7.27555812,nM/L
concentration,5sec,0.476321075,2.812206204,70.00130499,19.22218868,nM/L
concentration,5sec,0.424357199,2.730951007,70.00116262,18.66678747,nM/L
concentration,5sec,0.561104242,3.938659121,70.00153727,26.92179851,nM/L
concentration,5sec,0.53983248,3.764548928,70.00147899,25.73170832,nM/L
concentration,5sec,0.52539807,3.644686528,70.00143945,24.91241646,nM/L
concentration,5sec,0.535708363,3.533205274,70.00146769,24.15041199,nM/L
concentration,5sec,0.513369395,3.275591932,70.00140649,22.38955525,nM/L
concentration,5sec,0.496529249,3.12649519,70.00136035,21.37043875,nM/L
concentration,5sec,0.496529249,3.030406125,70.00136035,20.71364405,nM/L
concentration,5sec,0.496529249,2.937270241,70.00136035,20.07703514,nM/L
