Species,Sign,Reaction,Rate_Expression,,species_name,leading_sign,expression,,,,,,,,,,,,,,
AB40_Fibril17,+,AB40_Fibril17_formation_from_oligomer,k_O16_F17_forty*AB40_Oligomer16*AB40_Monomer*VIS_brain,,AB40_Fibril17,-,(k_F17_F18_forty * AB40_Monomer * AB40_Fibril17),,,,,,,,,,,,,,
AB40_Fibril17,-,AB40_Fibril17_dissociation_to_oligomer,k_F17_O16_forty*AB40_Fibril17*VIS_brain,,AB40_Fibril17,-,(k_F17_O16_forty * AB40_Fibril17),,,,,,,,,,,,,,
AB40_Fibril17,-,AB40_Plaque_formation_from_Fibril17,k_F17_Plaque_forty*AB40_Fibril17*AB40_Monomer*VIS_brain,,AB40_Fibril17,+,k_F18_F17_forty * AB40_Fibril18,,,,,,,,,,,,,,
AB40_Fibril17,+,AB40_Fibril17_plaque_driven_formation,k_O16_F17_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Monomer*AB40_Oligomer16*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Fibril17,-,(fta1 * Antibody_unbound_ISF * AB40_Fibril17),,,,,,,,,,,,,,
AB40_Fibril17,-,AB40_Fibril17_antibody_binding,fta1*Ab_t*AB40_Fibril17*VIS_brain,,AB40_Fibril17,-,(AB40_Fibril17 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Fibril17,-,AB40_Fibril17_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril17*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Fibril17,-,(K_F17_Plaque_forty * AB40_Fibril17 * AB40_Monomer),,,,,,,,,,,,,,
AB40_Fibril17,-,AB40_Fibril18_formation,k_F17_F18_forty*AB40_Fibril17*AB40_Monomer*VIS_brain,,AB40_Fibril17,+,k_O16_F17_forty * AB40_Monomer * AB40_Oligomer16,,,,,,,,,,,,,,
AB40_Fibril17,+,AB40_Fibril17_formation_from_fibril18,k_F18_F17_forty*AB40_Fibril18*VIS_brain,,AB40_Fibril17,+,k_O16_F17_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer16 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50)),,,,,,,,,,,,,,
AB40_Fibril17,-,AB40_Fibril17_to_PVS,(1 - sigma_ISF_ABeta40_oligomer17)*Q_PVS*AB40_Fibril17,,AB40_Fibril17,-,((1 - sigma_ISF_ABeta40_oligomer017) * Q_PVS * AB40_Fibril17 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Fibril17_Antibody_bound,+,AB40_Fibril17_antibody_binding,fta1*Ab_t*AB40_Fibril17*VIS_brain,,AB40_Fibril17_Antibody_bound,-,(AB40_Fibril17_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Fibril17_Antibody_bound,-,AB40_Fibril17_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril17_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Fibril17_Antibody_bound,+,fta1 * Antibody_unbound_ISF * AB40_Fibril17,,,,,,,,,,,,,,
AB40_Fibril17_PVS,+,AB40_Fibril17_to_PVS,(1 - sigma_ISF_ABeta40_oligomer17)*Q_PVS*AB40_Fibril17,,AB40_Fibril17_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB40_Fibril17_PVS),,,,,,,,,,,,,,
AB40_Fibril17_PVS,-,AB40_Fibril17_PVS_binding,fta2*AB40_Fibril17_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril17_PVS,+,(1 - sigma_ISF_ABeta40_oligomer017) * Q_PVS * AB40_Fibril17 / V_PVS,,,,,,,,,,,,,,
AB40_Fibril17_PVS,-,AB40_Fibril17_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Fibril17_PVS,,AB40_Fibril17_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Fibril17_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Fibril17_PVS_bound,+,AB40_Fibril17_PVS_binding,fta2*AB40_Fibril17_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril17_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB40_Fibril17_PVS,,,,,,,,,,,,,,
AB40_Fibril17_PVS_bound,-,AB40_Fibril17_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Fibril17_PVS_bound,,AB40_Fibril17_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Fibril17_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Fibril18,+,AB40_Fibril18_formation,k_F17_F18_forty*AB40_Fibril17*AB40_Monomer*VIS_brain,,AB40_Fibril18,+,k_F17_F18_forty * AB40_Monomer * AB40_Fibril17,,,,,,,,,,,,,,
AB40_Fibril18,-,AB40_Fibril17_formation_from_fibril18,k_F18_F17_forty*AB40_Fibril18*VIS_brain,,AB40_Fibril18,-,(k_F18_F17_forty * AB40_Fibril18),,,,,,,,,,,,,,
AB40_Fibril18,-,AB40_Plaque_formation_from_Fibril18,k_F18_Plaque_forty*AB40_Fibril18*AB40_Monomer*VIS_brain,,AB40_Fibril18,-,(k_F18_F19_forty * AB40_Monomer * AB40_Fibril18),,,,,,,,,,,,,,
AB40_Fibril18,-,AB40_Fibril18_antibody_binding,fta2*Ab_t*AB40_Fibril18*VIS_brain,,AB40_Fibril18,+,k_F19_F18_forty * AB40_Fibril19,,,,,,,,,,,,,,
AB40_Fibril18,-,AB40_Fibril18_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril18*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Fibril18,-,(fta2 * Antibody_unbound_ISF * AB40_Fibril18),,,,,,,,,,,,,,
AB40_Fibril18,-,AB40_fibril19_formation,k_F18_F19_forty*AB40_Fibril18*AB40_Monomer*VIS_brain,,AB40_Fibril18,-,(AB40_Fibril18 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Fibril18,+,AB40_fibril19_dissociation,k_F19_F18_forty*AB40_Fibril19*VIS_brain,,AB40_Fibril18,-,(K_F18_Plaque_forty * AB40_Fibril18 * AB40_Monomer),,,,,,,,,,,,,,
AB40_Fibril18,-,AB40_Fibril18_to_PVS,(1 - sigma_ISF_ABeta40_oligomer18)*Q_PVS*AB40_Fibril18,,AB40_Fibril18,-,((1 - sigma_ISF_ABeta40_oligomer018) * Q_PVS * AB40_Fibril18 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Fibril18_Antibody_bound,+,AB40_Fibril18_antibody_binding,fta2*Ab_t*AB40_Fibril18*VIS_brain,,AB40_Fibril18_Antibody_bound,-,(AB40_Fibril18_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Fibril18_Antibody_bound,-,AB40_Fibril18_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril18_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Fibril18_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB40_Fibril18,,,,,,,,,,,,,,
AB40_Fibril18_PVS,+,AB40_Fibril18_to_PVS,(1 - sigma_ISF_ABeta40_oligomer18)*Q_PVS*AB40_Fibril18,,AB40_Fibril18_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB40_Fibril18_PVS),,,,,,,,,,,,,,
AB40_Fibril18_PVS,-,AB40_Fibril18_PVS_binding,fta2*AB40_Fibril18_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril18_PVS,+,(1 - sigma_ISF_ABeta40_oligomer018) * Q_PVS * AB40_Fibril18 / V_PVS,,,,,,,,,,,,,,
AB40_Fibril18_PVS,-,AB40_Fibril18_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Fibril18_PVS,,AB40_Fibril18_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Fibril18_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Fibril18_PVS_bound,+,AB40_Fibril18_PVS_binding,fta2*AB40_Fibril18_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril18_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB40_Fibril18_PVS,,,,,,,,,,,,,,
AB40_Fibril18_PVS_bound,-,AB40_Fibril18_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Fibril18_PVS_bound,,AB40_Fibril18_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Fibril18_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Fibril19,+,AB40_fibril19_formation,k_F18_F19_forty*AB40_Fibril18*AB40_Monomer*VIS_brain,,AB40_Fibril19,+,k_F18_F19_forty * AB40_Monomer * AB40_Fibril18,,,,,,,,,,,,,,
AB40_Fibril19,-,AB40_fibril19_dissociation,k_F19_F18_forty*AB40_Fibril19*VIS_brain,,AB40_Fibril19,-,(k_F19_F18_forty * AB40_Fibril19),,,,,,,,,,,,,,
AB40_Fibril19,-,AB40_antibody_fibril19_binding,fta2*AB40_Fibril19*Ab_t*VIS_brain,,AB40_Fibril19,-,(k_F19_F20_forty * AB40_Monomer * AB40_Fibril19),,,,,,,,,,,,,,
AB40_Fibril19,-,AB40_microglia_fibril19_clearance,Microglia_Vmax_forty*AB40_Fibril19*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Fibril19,+,k_F20_F19_forty * AB40_Fibril20,,,,,,,,,,,,,,
AB40_Fibril19,-,AB40_fibril20_formation,k_F19_F20_forty*AB40_Fibril19*AB40_Monomer*VIS_brain,,AB40_Fibril19,-,(fta2 * Antibody_unbound_ISF * AB40_Fibril19),,,,,,,,,,,,,,
AB40_Fibril19,+,AB40_fibril20_dissociation,k_F20_F19_forty*AB40_Fibril20*VIS_brain,,AB40_Fibril19,-,(AB40_Fibril19 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Fibril19,-,AB40_Fibril19_to_PVS,(1 - sigma_ISF_ABeta40_oligomer19)*Q_PVS*AB40_Fibril19,,AB40_Fibril19,-,((1 - sigma_ISF_ABeta40_oligomer019) * Q_PVS * AB40_Fibril19 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Fibril19_Antibody_bound,+,AB40_antibody_fibril19_binding,fta2*AB40_Fibril19*Ab_t*VIS_brain,,AB40_Fibril19_Antibody_bound,-,(AB40_Fibril19_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Fibril19_Antibody_bound,-,AB40_Fibril19_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril19_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Fibril19_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB40_Fibril19,,,,,,,,,,,,,,
AB40_Fibril19_PVS,+,AB40_Fibril19_to_PVS,(1 - sigma_ISF_ABeta40_oligomer19)*Q_PVS*AB40_Fibril19,,AB40_Fibril19_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB40_Fibril19_PVS),,,,,,,,,,,,,,
AB40_Fibril19_PVS,-,AB40_Fibril19_PVS_binding,fta2*AB40_Fibril19_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril19_PVS,+,(1 - sigma_ISF_ABeta40_oligomer019) * Q_PVS * AB40_Fibril19 / V_PVS,,,,,,,,,,,,,,
AB40_Fibril19_PVS,-,AB40_Fibril19_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Fibril19_PVS,,AB40_Fibril19_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Fibril19_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Fibril19_PVS_bound,+,AB40_Fibril19_PVS_binding,fta2*AB40_Fibril19_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril19_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB40_Fibril19_PVS,,,,,,,,,,,,,,
AB40_Fibril19_PVS_bound,-,AB40_Fibril19_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Fibril19_PVS_bound,,AB40_Fibril19_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Fibril19_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Fibril20,+,AB40_fibril20_formation,k_F19_F20_forty*AB40_Fibril19*AB40_Monomer*VIS_brain,,AB40_Fibril20,+,k_F19_F20_forty * AB40_Monomer * AB40_Fibril19,,,,,,,,,,,,,,
AB40_Fibril20,-,AB40_fibril20_dissociation,k_F20_F19_forty*AB40_Fibril20*VIS_brain,,AB40_Fibril20,-,(k_F20_F19_forty * AB40_Fibril20),,,,,,,,,,,,,,
AB40_Fibril20,-,AB40_antibody_fibril20_binding,fta2*AB40_Fibril20*Ab_t*VIS_brain,,AB40_Fibril20,-,(k_F20_F21_forty * AB40_Monomer * AB40_Fibril20),,,,,,,,,,,,,,
AB40_Fibril20,-,AB40_microglia_fibril20_clearance,Microglia_Vmax_forty*AB40_Fibril20*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Fibril20,+,k_F21_F20_forty * AB40_Fibril21,,,,,,,,,,,,,,
AB40_Fibril20,-,AB40_fibril21_formation,k_F20_F21_forty*AB40_Fibril20*AB40_Monomer*VIS_brain,,AB40_Fibril20,-,(fta2 * Antibody_unbound_ISF * AB40_Fibril20),,,,,,,,,,,,,,
AB40_Fibril20,+,AB40_fibril21_dissociation,k_F21_F20_forty*AB40_Fibril21*VIS_brain,,AB40_Fibril20,-,(AB40_Fibril20 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Fibril20,-,AB40_Fibril20_to_PVS,(1 - sigma_ISF_ABeta40_oligomer20)*Q_PVS*AB40_Fibril20,,AB40_Fibril20,-,((1 - sigma_ISF_ABeta40_oligomer020) * Q_PVS * AB40_Fibril20 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Fibril20_Antibody_bound,+,AB40_antibody_fibril20_binding,fta2*AB40_Fibril20*Ab_t*VIS_brain,,AB40_Fibril20_Antibody_bound,-,(AB40_Fibril20_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Fibril20_Antibody_bound,-,AB40_Fibril20_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril20_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Fibril20_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB40_Fibril20,,,,,,,,,,,,,,
AB40_Fibril20_PVS,+,AB40_Fibril20_to_PVS,(1 - sigma_ISF_ABeta40_oligomer20)*Q_PVS*AB40_Fibril20,,AB40_Fibril20_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB40_Fibril20_PVS),,,,,,,,,,,,,,
AB40_Fibril20_PVS,-,AB40_Fibril20_PVS_binding,fta2*AB40_Fibril20_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril20_PVS,+,(1 - sigma_ISF_ABeta40_oligomer020) * Q_PVS * AB40_Fibril20 / V_PVS,,,,,,,,,,,,,,
AB40_Fibril20_PVS,-,AB40_Fibril20_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Fibril20_PVS,,AB40_Fibril20_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Fibril20_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Fibril20_PVS_bound,+,AB40_Fibril20_PVS_binding,fta2*AB40_Fibril20_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril20_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB40_Fibril20_PVS,,,,,,,,,,,,,,
AB40_Fibril20_PVS_bound,-,AB40_Fibril20_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Fibril20_PVS_bound,,AB40_Fibril20_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Fibril20_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Fibril21,+,AB40_fibril21_formation,k_F20_F21_forty*AB40_Fibril20*AB40_Monomer*VIS_brain,,AB40_Fibril21,+,k_F20_F21_forty * AB40_Monomer * AB40_Fibril20,,,,,,,,,,,,,,
AB40_Fibril21,-,AB40_fibril21_dissociation,k_F21_F20_forty*AB40_Fibril21*VIS_brain,,AB40_Fibril21,-,(k_F21_F20_forty * AB40_Fibril21),,,,,,,,,,,,,,
AB40_Fibril21,-,AB40_antibody_fibril21_binding,fta2*AB40_Fibril21*Ab_t*VIS_brain,,AB40_Fibril21,-,(k_F21_F22_forty * AB40_Monomer * AB40_Fibril21),,,,,,,,,,,,,,
AB40_Fibril21,-,AB40_microglia_fibril21_clearance,Microglia_Vmax_forty*AB40_Fibril21*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Fibril21,+,k_F22_F21_forty * AB40_Fibril22,,,,,,,,,,,,,,
AB40_Fibril21,-,AB40_fibril22_formation,k_F21_F22_forty*AB40_Fibril21*AB40_Monomer*VIS_brain,,AB40_Fibril21,-,(fta2 * Antibody_unbound_ISF * AB40_Fibril21),,,,,,,,,,,,,,
AB40_Fibril21,+,AB40_fibril22_dissociation,k_F22_F21_forty*AB40_Fibril22*VIS_brain,,AB40_Fibril21,-,(AB40_Fibril21 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Fibril21,-,AB40_Fibril21_to_PVS,(1 - sigma_ISF_ABeta40_oligomer21)*Q_PVS*AB40_Fibril21,,AB40_Fibril21,-,((1 - sigma_ISF_ABeta40_oligomer021) * Q_PVS * AB40_Fibril21 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Fibril21_Antibody_bound,+,AB40_antibody_fibril21_binding,fta2*AB40_Fibril21*Ab_t*VIS_brain,,AB40_Fibril21_Antibody_bound,-,(AB40_Fibril21_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Fibril21_Antibody_bound,-,AB40_Fibril21_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril21_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Fibril21_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB40_Fibril21,,,,,,,,,,,,,,
AB40_Fibril21_PVS,+,AB40_Fibril21_to_PVS,(1 - sigma_ISF_ABeta40_oligomer21)*Q_PVS*AB40_Fibril21,,AB40_Fibril21_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB40_Fibril21_PVS),,,,,,,,,,,,,,
AB40_Fibril21_PVS,-,AB40_Fibril21_PVS_binding,fta2*AB40_Fibril21_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril21_PVS,+,(1 - sigma_ISF_ABeta40_oligomer021) * Q_PVS * AB40_Fibril21 / V_PVS,,,,,,,,,,,,,,
AB40_Fibril21_PVS,-,AB40_Fibril21_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Fibril21_PVS,,AB40_Fibril21_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Fibril21_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Fibril21_PVS_bound,+,AB40_Fibril21_PVS_binding,fta2*AB40_Fibril21_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril21_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB40_Fibril21_PVS,,,,,,,,,,,,,,
AB40_Fibril21_PVS_bound,-,AB40_Fibril21_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Fibril21_PVS_bound,,AB40_Fibril21_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Fibril21_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Fibril22,+,AB40_fibril22_formation,k_F21_F22_forty*AB40_Fibril21*AB40_Monomer*VIS_brain,,AB40_Fibril22,+,k_F21_F22_forty * AB40_Monomer * AB40_Fibril21,,,,,,,,,,,,,,
AB40_Fibril22,-,AB40_fibril22_dissociation,k_F22_F21_forty*AB40_Fibril22*VIS_brain,,AB40_Fibril22,-,(k_F22_F21_forty * AB40_Fibril22),,,,,,,,,,,,,,
AB40_Fibril22,-,AB40_antibody_fibril22_binding,fta2*AB40_Fibril22*Ab_t*VIS_brain,,AB40_Fibril22,-,(k_F22_F23_forty * AB40_Monomer * AB40_Fibril22),,,,,,,,,,,,,,
AB40_Fibril22,-,AB40_microglia_fibril22_clearance,Microglia_Vmax_forty*AB40_Fibril22*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Fibril22,+,k_F23_F22_forty * AB40_Fibril23,,,,,,,,,,,,,,
