Species,Number_of_Terms
AB40_O10_ISF,9
AB40_O10_PVS,3
AB40_O10__Antibody_ISF,2
AB40_O10__Antibody_PVS,2
AB40_O11_ISF,9
AB40_O11_PVS,3
AB40_O11__Antibody_ISF,2
AB40_O11__Antibody_PVS,2
AB40_O12_ISF,11
AB40_O12_PVS,3
AB40_O12__Antibody_ISF,2
AB40_O12__Antibody_PVS,2
AB40_O13_ISF,10
AB40_O13_PVS,3
AB40_O13__Antibody_ISF,2
AB40_O13__Antibody_PVS,2
AB40_O14_ISF,10
AB40_O14_PVS,3
AB40_O14__Antibody_ISF,2
AB40_O14__Antibody_PVS,2
AB40_O15_ISF,10
AB40_O15_PVS,3
AB40_O15__Antibody_ISF,2
AB40_O15__Antibody_PVS,2
AB40_O16_ISF,10
AB40_O16_PVS,3
AB40_O16__Antibody_ISF,2
AB40_O16__Antibody_PVS,2
AB40_O17_ISF,9
AB40_O17_PVS,3
AB40_O17__Antibody_ISF,2
AB40_O17__Antibody_PVS,2
AB40_O18_ISF,8
AB40_O18_PVS,3
AB40_O18__Antibody_ISF,2
AB40_O18__Antibody_PVS,2
AB40_O19_ISF,7
AB40_O19_PVS,3
AB40_O19__Antibody_ISF,2
AB40_O19__Antibody_PVS,2
AB40_O1_BBB,4
AB40_O1_BCSFB,5
AB40_O1_BrainPlasma,8
AB40_O1_CM,3
AB40_O1_ISF,81
AB40_O1_LV,5
AB40_O1_PVS,3
AB40_O1_SAS,4
AB40_O1_TFV,6
AB40_O1__Antibody_BBB,6
AB40_O1__Antibody_BCSFB,7
AB40_O1__Antibody_BrainPlasma,10
AB40_O1__Antibody_CM,3
AB40_O1__Antibody_ISF,9
AB40_O1__Antibody_LV,6
AB40_O1__Antibody_PVS,2
AB40_O1__Antibody_SAS,4
AB40_O1__Antibody_TFV,7
AB40_O1__Antibody__FCRn_BBB,4
AB40_O1__Antibody__FCRn_BCSFB,5
AB40_O1__Antibody_central,9
AB40_O1__Antibody_peripheral,2
AB40_O1_central,10
AB40_O1_peripheral,2
AB40_O20_ISF,7
AB40_O20_PVS,3
AB40_O20__Antibody_ISF,2
AB40_O20__Antibody_PVS,2
AB40_O21_ISF,7
AB40_O21_PVS,3
AB40_O21__Antibody_ISF,2
AB40_O21__Antibody_PVS,2
AB40_O22_ISF,7
AB40_O22_PVS,3
AB40_O22__Antibody_ISF,2
AB40_O22__Antibody_PVS,2
AB40_O23_ISF,7
AB40_O23_PVS,3
AB40_O23__Antibody_ISF,2
AB40_O23__Antibody_PVS,2
AB40_O24_ISF,6
AB40_O24_PVS,3
AB40_O24__Antibody_ISF,2
AB40_O24__Antibody_PVS,2
AB40_O25_ISF,8
AB40_O25_PVS,1
AB40_O25__Antibody_ISF,2
AB40_O25__Antibody_PVS,1
AB40_O2_ISF,9
AB40_O2_PVS,3
AB40_O2__Antibody_ISF,2
AB40_O2__Antibody_PVS,2
AB40_O3_ISF,9
AB40_O3_PVS,3
AB40_O3__Antibody_ISF,2
AB40_O3__Antibody_PVS,2
AB40_O4_ISF,9
AB40_O4_PVS,3
AB40_O4__Antibody_ISF,2
AB40_O4__Antibody_PVS,2
AB40_O5_ISF,9
AB40_O5_PVS,3
AB40_O5__Antibody_ISF,2
AB40_O5__Antibody_PVS,2
AB40_O6_ISF,9
AB40_O6_PVS,3
AB40_O6__Antibody_ISF,2
AB40_O6__Antibody_PVS,2
AB40_O7_ISF,9
AB40_O7_PVS,3
AB40_O7__Antibody_ISF,2
AB40_O7__Antibody_PVS,2
AB40_O8_ISF,9
AB40_O8_PVS,3
AB40_O8__Antibody_ISF,2
AB40_O8__Antibody_PVS,2
AB40_O9_ISF,9
AB40_O9_PVS,3
AB40_O9__Antibody_ISF,2
AB40_O9__Antibody_PVS,2
AB42_O10_ISF,9
AB42_O10_PVS,3
AB42_O10__Antibody_ISF,2
AB42_O10__Antibody_PVS,2
AB42_O11_ISF,9
AB42_O11_PVS,3
AB42_O11__Antibody_ISF,2
AB42_O11__Antibody_PVS,2
AB42_O12_ISF,11
AB42_O12_PVS,3
AB42_O12__Antibody_ISF,2
AB42_O12__Antibody_PVS,2
AB42_O13_ISF,10
AB42_O13_PVS,3
AB42_O13__Antibody_ISF,2
AB42_O13__Antibody_PVS,2
AB42_O14_ISF,10
AB42_O14_PVS,3
AB42_O14__Antibody_ISF,2
AB42_O14__Antibody_PVS,2
AB42_O15_ISF,10
AB42_O15_PVS,3
AB42_O15__Antibody_ISF,2
AB42_O15__Antibody_PVS,2
AB42_O16_ISF,10
AB42_O16_PVS,3
AB42_O16__Antibody_ISF,2
AB42_O16__Antibody_PVS,2
AB42_O17_ISF,9
AB42_O17_PVS,3
AB42_O17__Antibody_ISF,2
AB42_O17__Antibody_PVS,2
AB42_O18_ISF,8
AB42_O18_PVS,3
AB42_O18__Antibody_ISF,2
AB42_O18__Antibody_PVS,2
AB42_O19_ISF,7
AB42_O19_PVS,3
AB42_O19__Antibody_ISF,2
AB42_O19__Antibody_PVS,2
AB42_O1_BBB,4
AB42_O1_BCSFB,5
AB42_O1_BrainPlasma,8
AB42_O1_CM,3
AB42_O1_ISF,81
AB42_O1_LV,5
AB42_O1_PVS,3
AB42_O1_SAS,4
AB42_O1_TFV,6
AB42_O1__Antibody_BBB,6
AB42_O1__Antibody_BCSFB,7
AB42_O1__Antibody_BrainPlasma,10
AB42_O1__Antibody_CM,3
AB42_O1__Antibody_ISF,9
AB42_O1__Antibody_LV,6
AB42_O1__Antibody_PVS,2
